harm_record_id,candidate_source_id,case_id,source_family,source_locator,component,measure,value_point,value_lower,value_upper,unit,victim_class,actor_attribution,actor_attribution_certainty,date_start,date_end,temporal_precision,geographic_scope_type,geographic_scope_name_or_id,source_coverage_scope,source_access_or_reporting_limitation,verification_status,overlap_group_id,notes
NPH002-D01,NPH-002,nepal_2001_2006,OHCHR_conflict_IHL_monitoring,report_p6_summary_and_p9_aerial_findings,direct_harm,civilian_deaths,3,,,persons,civilian,government,source_investigation_attributed,2006-01-21,2006-03-01,multiple_exact_incident_dates,multiple_localities,Phaparbari_VDC_Makwanpur_and_Panena_Pokharatok_Khidim_VDCs_Arghakanchi,OHCHR_investigated_13_operations_or_clashes_after_ceasefire_end,emblematic_investigated_sample_not_national_surveillance,OHCHR_field_investigated,NPH002_MAIN13,RNA_aerial_shooting_and_bombing;two_children_and_one_civilian_adult_killed
NPH002-D02,NPH-002,nepal_2001_2006,OHCHR_conflict_IHL_monitoring,report_p6_summary_and_p9_aerial_findings,direct_harm,civilian_injuries,6,,,persons,civilian,government,source_investigation_attributed,2006-02-28,2006-03-01,multiple_exact_incident_dates,multiple_localities,Panena_Pokharatok_Khidim_VDCs_Arghakanchi,OHCHR_investigated_13_operations_or_clashes_after_ceasefire_end,emblematic_investigated_sample_not_national_surveillance,OHCHR_field_investigated,NPH002_MAIN13,RNA_indiscriminate_aerial_bombing_and_shooting_injured_six
NPH002-D03,NPH-002,nepal_2001_2006,OHCHR_conflict_IHL_monitoring,report_p6_summary_and_p9_case13,direct_harm,civilian_deaths,1,,,persons,civilian,government,source_investigation_attributed,2006-01-29,2006-01-29,day,district_headquarters,Nepalgunj_DHQ_Banke,OHCHR_investigated_13_operations_or_clashes_after_ceasefire_end,emblematic_investigated_sample_not_national_surveillance,OHCHR_field_investigated,NPH002_MAIN13,APF_shots_fired_into_home_killed_15_year_old_girl
NPH002-D04,NPH-002,nepal_2001_2006,OHCHR_conflict_IHL_monitoring,report_p6_summary_case12,direct_harm,civilian_deaths,1,,,persons,civilian,government,source_investigation_attributed,2006-03-06,2006-03-06,day,district_headquarters,Ilam_DHQ_Ilam,OHCHR_investigated_13_operations_or_clashes_after_ceasefire_end,emblematic_investigated_sample_not_national_surveillance,OHCHR_field_investigated,NPH002_MAIN13,RNA_shots_fired_into_home_killed_one_adult
NPH002-D05,NPH-002,nepal_2001_2006,OHCHR_conflict_IHL_monitoring,report_p6_summary_case12,direct_harm,civilian_deaths,1,,,persons,civilian,insurgent,source_investigation_attributed,2006-03-06,2006-03-06,day,district_headquarters,Ilam_DHQ_Ilam,OHCHR_investigated_13_operations_or_clashes_after_ceasefire_end,emblematic_investigated_sample_not_national_surveillance,OHCHR_field_investigated,NPH002_MAIN13,CPN_M_shots_fired_into_home_killed_one_adult
NPH002-D06,NPH-002,nepal_2001_2006,OHCHR_conflict_IHL_monitoring,report_p6_summary,direct_harm,civilian_deaths,4,,,persons,civilian,multiple_or_crossfire,source_reports_crossfire_without_unique_perpetrator,2006-01-12,2006-02-06,multiple_exact_incident_dates,multiple_localities,Panauti_Kavre_Manakamana_Syangja_Phaparbari_Makwanpur_Tansen_Palpa,OHCHR_investigated_13_operations_or_clashes_after_ceasefire_end,insufficient_information_to_determine_whether_IHL_violations,OHCHR_field_investigated,NPH002_MAIN13,four_adult_civilians_reportedly_killed_in_crossfire_one_in_each_named_location
NPH002-D07,NPH-002,nepal_2001_2006,OHCHR_conflict_IHL_monitoring,report_p6_summary_and_p9_IED_findings,direct_harm,civilian_deaths,1,,,persons,civilian,insurgent,source_investigation_attributed,2006-02-09,2006-02-09,day,village,Sunwal_Nawalparasi,OHCHR_investigated_13_operations_or_clashes_after_ceasefire_end,emblematic_investigated_sample_not_national_surveillance,OHCHR_field_investigated,NPH002_MAIN13,CPN_M_IED_explosion_killed_one_civilian
NPH002-D08,NPH-002,nepal_2001_2006,OHCHR_conflict_IHL_monitoring,report_p6_summary_and_p9_IED_findings,direct_harm,civilian_injuries,18,,,persons,civilian,insurgent,source_investigation_attributed,2006-02-06,2006-02-27,multiple_exact_incident_dates,multiple_localities,Sunwal_Nawalparasi_Chorepatan_and_Pokhara_Kaski_Panauti_Kavre_Dhankuta_DHQ,OHCHR_investigated_13_operations_or_clashes_after_ceasefire_end,emblematic_investigated_sample_not_national_surveillance,OHCHR_field_investigated,NPH002_MAIN13,CPN_M_bomb_explosions_injured_18_civilians_in_cases_under_review
NPH002-R01,NPH-002,nepal_2001_2006,OHCHR_conflict_IHL_monitoring,report_p9_aerial_findings,resource_loss,civilian_property_destroyed,,13,,civilian_properties,civilian,government,source_investigation_attributed,2006-01-31,2006-01-31,day,district_headquarters,Tansen_DHQ_Palpa,OHCHR_investigated_13_operations_or_clashes_after_ceasefire_end,lower_bound_only_no_invented_upper_bound,OHCHR_field_investigated,NPH002_MAIN13,RNA_helicopters_dropped_at_least_five_bombs_damaging_at_least_13_civilian_properties
NPH004-S01,NPH-004,nepal_2001_2006,UNHCR_displacement_monitoring,UNHCR_Global_Report_2006_Nepal_summary,displacement,internally_displaced_population_stock,,100000,200000,persons,civilian_population,unknown_or_unattributed,no_actor_attribution_in_source_summary,2006-01-01,2006-12-31,annual_estimate,national,Nepal,UNHCR_supported_solutions_for_estimated_IDP_population,range_estimate_not_incident_census,UNHCR_source_estimate_range,NPH_UNHCR_2006_IDP,estimated_100000_to_200000_IDPs;retain_range_without_midpoint
AFH002-F01,AFH-002,afghanistan_2004_2021,UNHCR_displacement_monitoring,UNHCR_briefing_note_3_Oct_2006,displacement,new_internal_displacement_flow,15000,,,families,civilian_population,multiple_or_crossfire,hostilities_between_government_NATO_and_insurgents_not_individually_attributed,2006-07-01,2006-10-03,bounded_interval,multiple_provinces,Kandahar_Uruzgan_Helmand,estimated_fresh_displacement_since_July_2006,regional_snapshot;family_unit_not_person_count;UNHCR_no_information_on_movements_to_other_districts,UNHCR_source_estimate_point,AF_UNHCR_SOUTH_2006,estimated_15000_families_displaced_by_recent_hostilities
AFH003-F01,AFH-003,afghanistan_2004_2021,UNHCR_via_IDMC_displacement_figures,Challenges_of_IDP_Protection_p14,displacement,new_internal_displacement_flow,50000,,,persons,civilian_population,unknown_or_unattributed,no_actor_attribution_in_reported_UNHCR_figure,2009-01-01,2009-12-31,year,national,Afghanistan,reported_UNHCR_2011_conflict_displacement_figure,about_value;report_warns_figures_are_estimates_and_speculations_due_tracking_and_access_limits,secondary_report_of_UNHCR_figure,AF_UNHCR_IDP_2009,about_50000_people_newly_displaced_by_conflict_in_2009;not_independent_of_UNHCR
AFH003-F02,AFH-003,afghanistan_2004_2021,UNHCR_via_IDMC_displacement_figures,Challenges_of_IDP_Protection_p14,displacement,new_internal_displacement_flow,160000,,,persons,civilian_population,unknown_or_unattributed,no_actor_attribution_in_reported_UNHCR_figure,2011-01-01,2011-12-31,year,national,Afghanistan,reported_UNHCR_2011_conflict_displacement_figure,about_value;report_warns_figures_are_estimates_and_speculations_due_tracking_and_access_limits,secondary_report_of_UNHCR_figure,AF_UNHCR_IDP_2011,about_160000_people_newly_displaced_by_conflict_by_end_of_2011;not_independent_of_UNHCR
AFH006-D01,AFH-006,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_2008_annual_report_overview,direct_harm,civilian_deaths,1523,,,persons,civilian,unknown_or_unattributed,total_all_parties,2007-01-01,2007-12-31,year,national,Afghanistan,UNAMA_annual_protection_of_civilians_reporting,pre_2009_reporting_system;source_reported_annual_total,UNAMA_recorded_pre_systematic_methodology,AF_UNAMA_2007_TOTAL,2008_report_states_1523_civilian_deaths_recorded_in_2007
AFH006-D02,AFH-006,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_2008_annual_report_overview,direct_harm,civilian_deaths,2118,,,persons,civilian,unknown_or_unattributed,total_all_parties,2008-01-01,2008-12-31,year,national,Afghanistan,UNAMA_annual_protection_of_civilians_reporting,pre_2009_reporting_system;source_describes_access_and_conflict_reporting_context,UNAMA_recorded_pre_systematic_methodology,AF_UNAMA_2008_TOTAL,2118_civilian_deaths_recorded_in_2008
AFH007-D01,AFH-007,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_2009_annual_report_press_release,direct_harm,civilian_deaths,2412,,,persons,civilian,unknown_or_unattributed,total_all_parties,2009-01-01,2009-12-31,year,national,Afghanistan,UNAMA_annual_protection_of_civilians_reporting,systematic_monitoring_family;do_not_count_repeated_UNAMA_reports_as_independent,UNAMA_recorded_count,AF_UNAMA_2009_TOTAL,source_reports_2412_civilian_deaths_in_2009
AFH008-D01,AFH-008,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_2019_annual_report_press_release,direct_harm,civilian_deaths,3403,,,persons,civilian,unknown_or_unattributed,total_all_parties,2019-01-01,2019-12-31,year,national,Afghanistan,UNAMA_annual_protection_of_civilians_reporting,systematic_monitoring_family;do_not_count_repeated_UNAMA_reports_as_independent,UNAMA_documented_count,AF_UNAMA_2019_TOTAL,UNAMA_documented_3403_civilians_killed_in_2019
AFH008-D02,AFH-008,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_2019_annual_report_press_release,direct_harm,civilian_injuries,6989,,,persons,civilian,unknown_or_unattributed,total_all_parties,2019-01-01,2019-12-31,year,national,Afghanistan,UNAMA_annual_protection_of_civilians_reporting,systematic_monitoring_family;do_not_count_repeated_UNAMA_reports_as_independent,UNAMA_documented_count,AF_UNAMA_2019_TOTAL,UNAMA_documented_6989_civilians_injured_in_2019
AFH009-D01,AFH-009,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_2020_annual_report_press_release,direct_harm,civilian_deaths,3035,,,persons,civilian,unknown_or_unattributed,total_all_parties,2020-01-01,2020-12-31,year,national,Afghanistan,UNAMA_annual_protection_of_civilians_reporting,systematic_monitoring_family;possible_under_reporting_acknowledged_by_UNAMA,UNAMA_documented_count,AF_UNAMA_2020_TOTAL,UNAMA_documented_3035_civilians_killed_in_2020
AFH009-D02,AFH-009,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_2020_annual_report_press_release,direct_harm,civilian_injuries,5785,,,persons,civilian,unknown_or_unattributed,total_all_parties,2020-01-01,2020-12-31,year,national,Afghanistan,UNAMA_annual_protection_of_civilians_reporting,systematic_monitoring_family;possible_under_reporting_acknowledged_by_UNAMA,UNAMA_documented_count,AF_UNAMA_2020_TOTAL,UNAMA_documented_5785_civilians_injured_in_2020
AFH010-D01,AFH-010,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_2021_midyear_press_release,direct_harm,civilian_deaths,1659,,,persons,civilian,unknown_or_unattributed,total_all_parties,2021-01-01,2021-06-30,half_year,national,Afghanistan,UNAMA_midyear_protection_of_civilians_reporting,verified_clear_and_convincing_standard;possible_under_reporting_acknowledged;half_year_only,UNAMA_verified_count,AF_UNAMA_2021H1_TOTAL,UNAMA_documented_1659_civilians_killed_first_half_2021
AFH010-D02,AFH-010,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_2021_midyear_press_release,direct_harm,civilian_injuries,3524,,,persons,civilian,unknown_or_unattributed,total_all_parties,2021-01-01,2021-06-30,half_year,national,Afghanistan,UNAMA_midyear_protection_of_civilians_reporting,verified_clear_and_convincing_standard;possible_under_reporting_acknowledged;half_year_only,UNAMA_verified_count,AF_UNAMA_2021H1_TOTAL,UNAMA_documented_3524_civilians_injured_first_half_2021
