blind_task_id,candidate_source_id,case_id,publisher_or_originator,source_title,source_url_or_archive_ref,locator_hint,task_instruction
16eea11baa97,AFH-001,afghanistan_2004_2021,UNAMA_OHCHR,Reports on the Protection of Civilians in Armed Conflict archive,https://unama.unmissions.org/en/reports-on-the-protection-of-civilians-in-armed-conflict,whole_source_review_against_frozen_coding_contract,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
cce5bfd08114,AFH-002,afghanistan_2004_2021,UNHCR,Afghanistan increasing displacement in the south,https://www.unhcr.org/news/briefing-notes/afghanistan-increasing-displacement-south,UNHCR_briefing_note_3_Oct_2006,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
2d4cec94cf4e,AFH-003,afghanistan_2004_2021,Internal_Displacement_Monitoring_Centre,Afghanistan Challenges of IDP Protection,https://www.internal-displacement.org/sites/default/files/publications/documents/201211-me-afghanistan-challenges-of-idp-protection-country-en.pdf,Challenges_of_IDP_Protection_p14,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
168843a07468,AFH-004,afghanistan_2004_2021,Afghanistan_Independent_Human_Rights_Commission,Annual Report 2004-2005,https://www.refworld.org/reference/countryrep/aihrc/2005/57137,whole_source_review_against_frozen_coding_contract,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
a59e69a87637,AFH-005,afghanistan_2004_2021,UN_High_Commissioner_for_Human_Rights,Report on the situation of human rights in Afghanistan A/60/343,https://digitallibrary.un.org/record/558584,whole_source_review_against_frozen_coding_contract,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
222c1ebfa06f,AFH-006,afghanistan_2004_2021,UNAMA_OHCHR,Afghanistan Annual Report on Protection of Civilians in Armed Conflict 2008,https://unama.unmissions.org/sites/default/files/unama_09february-annual20report_poc202008_final_11feb09.pdf,UNAMA_2008_annual_report_overview,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
0685822b7473,AFH-007,afghanistan_2004_2021,UNAMA_OHCHR,UNAMA calls for safety first as civilian casualties rise in 2009,https://unama.unmissions.org/en/node/59745,UNAMA_2009_annual_report_press_release,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
750a77eadf11,AFH-008,afghanistan_2004_2021,UNAMA_OHCHR,Afghanistan 10000 civilian casualties for sixth straight year 2019 report,https://unama.unmissions.org/en/node/63561,UNAMA_2019_annual_report_press_release,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
c3d268d06efa,AFH-009,afghanistan_2004_2021,UNAMA_OHCHR,Afghanistan Protection of Civilians Annual Report 2020 press release,https://unama.unmissions.org/en/news/surge-in-civilian-casualties-following-afghanistan-peace-negotiations-start-un-report,UNAMA_2020_annual_report_press_release,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
3f4641dbaea6,AFH-010,afghanistan_2004_2021,UNAMA_OHCHR,Afghanistan Protection of Civilians Midyear Update 2021 press release,https://unama.unmissions.org/en/news/civilian-casualties-set-to-hit-unprecedented-highs-in-2021-unless-urgent-action-to-stem,UNAMA_2021_midyear_press_release,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
74038d021d57,NPH-001,nepal_2001_2006,OHCHR,Nepal Conflict Report 2012,https://www.ohchr.org/en/documents/country-reports/nepal-conflict-report,whole_source_review_against_frozen_coding_contract,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
7a60e5356c64,NPH-002,nepal_2001_2006,OHCHR,Investigations into violations of IHL January-March 2006,https://nepal.ohchr.org/en/resources/Documents/English/reports/IR/Year2006/2006-04-18_IHL%20report_English_version.pdf,report_p6_summary,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
01f9232eec26,NPH-002,nepal_2001_2006,OHCHR,Investigations into violations of IHL January-March 2006,https://nepal.ohchr.org/en/resources/Documents/English/reports/IR/Year2006/2006-04-18_IHL%20report_English_version.pdf,report_p6_summary_and_p9_IED_findings,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
88921c5b9d40,NPH-002,nepal_2001_2006,OHCHR,Investigations into violations of IHL January-March 2006,https://nepal.ohchr.org/en/resources/Documents/English/reports/IR/Year2006/2006-04-18_IHL%20report_English_version.pdf,report_p6_summary_and_p9_aerial_findings,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
1284b6df9c93,NPH-002,nepal_2001_2006,OHCHR,Investigations into violations of IHL January-March 2006,https://nepal.ohchr.org/en/resources/Documents/English/reports/IR/Year2006/2006-04-18_IHL%20report_English_version.pdf,report_p6_summary_and_p9_case13,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
31d6aaac3d7d,NPH-002,nepal_2001_2006,OHCHR,Investigations into violations of IHL January-March 2006,https://nepal.ohchr.org/en/resources/Documents/English/reports/IR/Year2006/2006-04-18_IHL%20report_English_version.pdf,report_p6_summary_case12,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
cd944dfb19c3,NPH-002,nepal_2001_2006,OHCHR,Investigations into violations of IHL January-March 2006,https://nepal.ohchr.org/en/resources/Documents/English/reports/IR/Year2006/2006-04-18_IHL%20report_English_version.pdf,report_p9_aerial_findings,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
42ae94cd56b7,NPH-003,nepal_2001_2006,UNHCR,UNHCR Global Report 2006 South Asia Subregional Overview,https://www.unhcr.org/us/sites/en-us/files/legacy-pdf/4666d2540.pdf,whole_source_review_against_frozen_coding_contract,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
43ce6a01c0e4,NPH-004,nepal_2001_2006,UNHCR,UNHCR Global Report 2006 Nepal,https://un.info.np/Net/NeoDocs/View/1718,UNHCR_Global_Report_2006_Nepal_summary,Independently extract all claims at this locator that satisfy civilian_harm_coding_contract_v1.json; output NONE if there are no admissible claims.
