candidate_source_id,case_id,source_family,publisher_or_originator,source_title,source_url_or_archive_ref,date_opened,source_date_start,source_date_end,geographic_scope,direct_harm_available,displacement_available,resource_loss_available,actor_attribution_available,uncertainty_or_coverage_statement_available,potentially_admissible,exclusion_reason,first_coder_status,second_coder_status,immutable_archive_hash_if_available
NPH-001,nepal_2001_2006,OHCHR_Nepal_Conflict_Report,OHCHR,Nepal Conflict Report 2012,https://www.ohchr.org/en/documents/country-reports/nepal-conflict-report,2026-09-05,1996-01-01,2006-11-21,national_with_incident_level_material,incident_level,unknown,incident_level,incident_level,yes,true,aggregate_over_13000_deaths_is_not_civilian_specific_under_frozen_ontology,screened_no_eligible_aggregate_value_extracted,pending,
NPH-002,nepal_2001_2006,OHCHR_conflict_IHL_monitoring,OHCHR,Investigations into violations of IHL January-March 2006,https://nepal.ohchr.org/en/resources/Documents/English/reports/IR/Year2006/2006-04-18_IHL%20report_English_version.pdf,2026-09-05,2006-01-02,2006-04-18,investigated_incidents_and_named_districts,yes,no,yes,yes,yes,true,emblematic_investigated_sample_not_population_surveillance,first_coder_value_coded,pending,
NPH-003,nepal_2001_2006,UNHCR_displacement_monitoring,UNHCR,UNHCR Global Report 2006 South Asia Subregional Overview,https://www.unhcr.org/us/sites/en-us/files/legacy-pdf/4666d2540.pdf,2026-09-05,2006-01-01,2006-12-31,South_Asia_subregional,no,context_only,no,no,yes,false,subregional_overview_not_the_nepal_specific_IDP_source,screened_no_value_coded,pending,
NPH-004,nepal_2001_2006,UNHCR_displacement_monitoring,UNHCR,UNHCR Global Report 2006 Nepal,https://un.info.np/Net/NeoDocs/View/1718,2026-09-05,2006-01-01,2006-12-31,national,no,yes,no,no,yes,true,range_estimate_not_incident_census,first_coder_value_coded,pending,
AFH-001,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_OHCHR,Reports on the Protection of Civilians in Armed Conflict archive,https://unama.unmissions.org/en/reports-on-the-protection-of-civilians-in-armed-conflict,2026-09-05,2007-01-01,2021-08-15,national_with_subnational_incident_reporting,index,no,no,no,yes,false,index_page_only_report_specific_documents_logged_separately,screened_index_only,pending,
AFH-002,afghanistan_2004_2021,UNHCR_displacement_monitoring,UNHCR,Afghanistan increasing displacement in the south,https://www.unhcr.org/news/briefing-notes/afghanistan-increasing-displacement-south,2026-09-05,2006-07-01,2006-10-03,Kandahar_Uruzgan_Helmand,no,yes,no,yes,yes,true,regional_snapshot_and_family_unit_not_person_count,first_coder_value_coded,pending,
AFH-003,afghanistan_2004_2021,UNHCR_via_IDMC_displacement_figures,Internal_Displacement_Monitoring_Centre,Afghanistan Challenges of IDP Protection,https://www.internal-displacement.org/sites/default/files/publications/documents/201211-me-afghanistan-challenges-of-idp-protection-country-en.pdf,2026-09-05,2009-01-01,2011-12-31,national,no,yes,no,no,yes,true,coded_national_figures_are_reported_as_UNHCR_2011_figures_and_are_not_independent_of_UNHCR;tracking_in_insecure_provinces_is_limited,first_coder_value_coded_secondary_dependency,pending,
AFH-004,afghanistan_2004_2021,AIHRC_human_rights_monitoring,Afghanistan_Independent_Human_Rights_Commission,Annual Report 2004-2005,https://www.refworld.org/reference/countryrep/aihrc/2005/57137,2026-09-05,2004-06-01,2005-05-31,national,no,no,no,no,yes,false,table_counts_property_destruction_and_extrajudicial_killings_but_does_not_identify_clean_conflict_specific_civilian_harm_or_actor_attribution;coverage_is_incomplete,screened_not_contract_harm,pending,
AFH-005,afghanistan_2004_2021,UN_human_rights_monitoring,UN_High_Commissioner_for_Human_Rights,Report on the situation of human rights in Afghanistan A/60/343,https://digitallibrary.un.org/record/558584,2026-09-05,2005-01-01,2005-09-09,national,qualitative,context_only,qualitative,no,yes,false,accessible_source_material_documents_civilian_toll_and_vulnerability_but_no_clean_source_native_quantitative_contract_harm_record_was_identified,screened_context_only_no_value_coded,pending,
AFH-006,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_OHCHR,Afghanistan Annual Report on Protection of Civilians in Armed Conflict 2008,https://unama.unmissions.org/sites/default/files/unama_09february-annual20report_poc202008_final_11feb09.pdf,2026-09-05,2007-01-01,2008-12-31,national,yes,no,qualitative,yes,yes,true,2007_2008_precede_UNAMA_systematic_documentation_beginning_2009,first_coder_value_coded,pending,
AFH-007,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_OHCHR,UNAMA calls for safety first as civilian casualties rise in 2009,https://unama.unmissions.org/en/node/59745,2026-09-05,2009-01-01,2009-12-31,national,yes,no,no,yes,yes,true,same_originating_monitoring_system_as_other_UNAMA_reports,first_coder_value_coded,pending,
AFH-008,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_OHCHR,Afghanistan 10000 civilian casualties for sixth straight year 2019 report,https://unama.unmissions.org/en/node/63561,2026-09-05,2019-01-01,2019-12-31,national,yes,no,no,yes,yes,true,same_originating_monitoring_system_as_other_UNAMA_reports,first_coder_value_coded,pending,
AFH-009,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_OHCHR,Afghanistan Protection of Civilians Annual Report 2020 press release,https://unama.unmissions.org/en/news/surge-in-civilian-casualties-following-afghanistan-peace-negotiations-start-un-report,2026-09-05,2020-01-01,2020-12-31,national,yes,no,no,yes,yes,true,same_originating_monitoring_system_as_other_UNAMA_reports,first_coder_value_coded,pending,
AFH-010,afghanistan_2004_2021,UNAMA_OHCHR_civilian_casualty_monitoring,UNAMA_OHCHR,Afghanistan Protection of Civilians Midyear Update 2021 press release,https://unama.unmissions.org/en/news/civilian-casualties-set-to-hit-unprecedented-highs-in-2021-unless-urgent-action-to-stem,2026-09-05,2021-01-01,2021-06-30,national,yes,no,no,yes,yes,true,half_year_only_and_same_originating_monitoring_system_as_other_UNAMA_reports,first_coder_value_coded,pending,
NPH-005,nepal_2001_2006,UCDP_GED,Uppsala_Conflict_Data_Program,UCDP Georeferenced Event Dataset 26.1,https://ucdp.uu.se/downloads/ged/ged261-csv.zip,2026-09-05,2001-11-26,2006-11-21,national_event_level,yes,no,no,yes,yes,true,structured_crosscheck_uses_deaths_civilians_only_not_total_fatalities,structured_crosscheck_extracted_v1,pending,8c941d84954e555ee2e54f40fa04d9203bf1e2f962203d0a9930966c4947c667
AFH-011,afghanistan_2004_2021,UCDP_GED,Uppsala_Conflict_Data_Program,UCDP Georeferenced Event Dataset 26.1,https://ucdp.uu.se/downloads/ged/ged261-csv.zip,2026-09-05,2004-01-01,2021-08-15,national_event_level,yes,no,no,yes,yes,true,structured_crosscheck_uses_deaths_civilians_only_not_total_fatalities,structured_crosscheck_extracted_v1,pending,8c941d84954e555ee2e54f40fa04d9203bf1e2f962203d0a9930966c4947c667
