case_id,year,window_status,ucdp_event_count,ucdp_positive_civilian_death_event_count,ucdp_civilian_deaths
afghanistan_2004_2021,2004,full_case_year,241,30,77
afghanistan_2004_2021,2005,full_case_year,430,80,200
afghanistan_2004_2021,2006,full_case_year,848,141,477
afghanistan_2004_2021,2007,full_case_year,1044,163,674
afghanistan_2004_2021,2008,full_case_year,1115,183,763
afghanistan_2004_2021,2009,full_case_year,1514,306,1099
afghanistan_2004_2021,2010,full_case_year,1806,340,1171
afghanistan_2004_2021,2011,full_case_year,2197,309,1024
afghanistan_2004_2021,2012,full_case_year,2301,249,908
afghanistan_2004_2021,2013,full_case_year,1926,255,930
afghanistan_2004_2021,2014,full_case_year,2119,256,876
afghanistan_2004_2021,2015,full_case_year,2266,248,905
afghanistan_2004_2021,2016,full_case_year,2428,278,1086
afghanistan_2004_2021,2017,full_case_year,2482,263,1068
afghanistan_2004_2021,2018,full_case_year,3724,327,1859
afghanistan_2004_2021,2019,full_case_year,4682,419,1759
afghanistan_2004_2021,2020,full_case_year,3317,485,1647
afghanistan_2004_2021,2021,partial_case_year,4355,417,1322
nepal_2001_2006,2001,partial_case_year,105,50,74
nepal_2001_2006,2002,full_case_year,1531,281,519
nepal_2001_2006,2003,full_case_year,885,314,405
nepal_2001_2006,2004,full_case_year,1360,449,577
nepal_2001_2006,2005,full_case_year,649,255,325
nepal_2001_2006,2006,full_case_year,213,102,129
