cell_id,support_profile,forcegen_mult,logistics_mult,command_mult,air_intensity,air_bonus,air_cost_per_contact,logistics_rate,logistics_capacity,logistics_cost_per_unit,command_reliability_boost,command_latency_reduction_fraction,command_floor_hours,command_cost_per_formation_day,forcegen_training_rate_boost,forcegen_cost_per_incremental_trainee
none_01,none,1.4,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0
none_02,none,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
none_03,none,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0
none_04,none,0.4,1.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0
none_05,none,1.3,0.4,1.3,0,0,0,0,0,0,0,0,0,0,0,0
none_06,none,1.3,1.3,0.4,0,0,0,0,0,0,0,0,0,0,0,0
none_07,none,0.6,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0
none_08,none,0.7,0.7,1.6,0,0,0,0,0,0,0,0,0,0,0,0
none_09,none,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0
none_10,none,0.4,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
balanced_01,balanced,1.4,1.4,1.4,0.35,0.40,800,450,700,8,0.18,0.20,1.0,80,0.006,80
balanced_02,balanced,1.0,1.0,1.0,0.35,0.40,800,450,700,8,0.18,0.20,1.0,80,0.006,80
balanced_03,balanced,0.6,0.6,0.6,0.35,0.40,800,450,700,8,0.18,0.20,1.0,80,0.006,80
balanced_04,balanced,0.4,1.3,1.3,0.35,0.40,800,450,700,8,0.18,0.20,1.0,80,0.006,80
balanced_05,balanced,1.3,0.4,1.3,0.35,0.40,800,450,700,8,0.18,0.20,1.0,80,0.006,80
balanced_06,balanced,1.3,1.3,0.4,0.35,0.40,800,450,700,8,0.18,0.20,1.0,80,0.006,80
balanced_07,balanced,0.6,1.2,1.2,0.35,0.40,800,450,700,8,0.18,0.20,1.0,80,0.006,80
