scenario,seed,days_from_withdrawal,demand_on,demand_off,relative_error
M1,2026240000,7.0,29652.073508026,29496.67951518,0.005268185958559421
M1,2026240000,14.0,28185.468684429,28112.671771403,0.002589469745812408
M1,2026240000,21.0,27716.239596369,27758.035082556,0.0015057076649228555
M1,2026240000,28.0,27420.329130975,27635.134921301,0.00777292352426441
M1,2026240000,30.0,7940.730549363,7884.13463036,0.007178456692642194
M1,2026240000,35.0,19686.805895788,19696.335364806,0.0004838193928718959
M1,2026240000,42.0,27622.029835642,27552.492843959,0.002523800371778153
M1,2026240000,49.0,27540.398783836,27537.115482625,0.00011923184957676149
M1,2026240000,56.0,27468.545716099,27528.359808296,0.0021728171461553995
M1,2026240000,63.0,27298.967114778,27523.286344626,0.008150161541003679
M1,2026240000,70.0,27515.355689024,27520.320462835,0.00018040392435489519
M1,2026240000,77.0,27303.89009289,27518.578765257,0.007801590125651772
M1,2026240000,84.0,27537.711617657,27517.553534368,0.0007325536139623283
M1,2026240000,90.0,23460.627240453,23585.982776631,0.005314832007009014
M1,2026240000,91.0,3924.004504575,3930.966506578,0.001771066222861504
M1,2026240000,98.0,27524.349866423,27516.592908238,0.00028190111366142124
M1,2026240000,105.0,27316.016264571,27516.382648405,0.007281712367290916
M1,2026240000,112.0,27535.231339331,27516.258571048,0.0006895111933190194
M1,2026240000,119.0,27310.991979921,27516.18534315,0.007457187857621409
M1,2026240000,126.0,27539.316863063,27516.142122927,0.000842223449510659
M1,2026240000,133.0,27313.868509497,27516.116612839,0.007350168855136775
M1,2026240000,140.0,27521.688912276,27516.101555611,0.00020305771345219292
M1,2026240000,147.0,27305.081329098,27516.092668052,0.007668651995746346
M1,2026240000,154.0,27530.65491082,27516.087422122,0.0005294171542095636
M1,2026240000,161.0,27310.739342109,27516.084325672,0.007462725478400233
M1,2026240000,168.0,27532.535540703,27516.082497967,0.000597942775364775
M1,2026240000,175.0,27311.493666464,27516.081419148,0.007435206691227056
M1,2026240000,180.0,19771.134096618,19654.343463246,0.0059422302042497184
M1,2026240000,182.0,7862.01276188,7861.737319118,3.503586431583178e-05
M1,2026240000,189.0,27419.707736005,27516.080406496,0.0035024127371080364
M1,2026240000,196.0,27332.101970172,27516.080184637,0.006686207237022149
M1,2026240000,203.0,27287.084043467,27516.080053682,0.008322261374739579
M1,2026240000,210.0,27262.18582889,27516.079976386,0.00922711911412855
M1,2026240000,217.0,27247.829685283,27516.07993076,0.009748853984724961
M1,2026240000,224.0,27239.359002237,27516.079903829,0.010056697849372465
M1,2026240000,231.0,27234.296775348,27516.079887933,0.010240670681748278
M1,2026240000,238.0,27231.249823025,27516.07987855,0.010351403862111919
M1,2026240000,245.0,27229.408419935,27516.079873013,0.010418324645116335
M1,2026240000,252.0,27228.292984998,27516.079869748,0.01045886209490186
M1,2026240000,259.0,27227.616388842,27516.079867818,0.010483451144266262
M1,2026240000,266.0,27227.205653135,27516.07986668,0.010498378219013933
