cell_id_normal,scenario,mode_normal,seed,source_cell_id_normal,source_structure_normal,source_capacity_normal,source_intensity_normal,delta_capability_h7_normal,delta_q_h7_normal,bottleneck_on_h7_normal,bottleneck_off_h7_normal,logistics_demand_on_h7_normal,logistics_demand_off_h7_normal,logistics_indigenous_on_h7_normal,logistics_indigenous_off_h7_normal,delta_capability_h30_normal,delta_q_h30_normal,bottleneck_on_h30_normal,bottleneck_off_h30_normal,logistics_demand_on_h30_normal,logistics_demand_off_h30_normal,logistics_indigenous_on_h30_normal,logistics_indigenous_off_h30_normal,delta_capability_h90_normal,delta_q_h90_normal,bottleneck_on_h90_normal,bottleneck_off_h90_normal,logistics_demand_on_h90_normal,logistics_demand_off_h90_normal,logistics_indigenous_on_h90_normal,logistics_indigenous_off_h90_normal,delta_capability_h180_normal,delta_q_h180_normal,bottleneck_on_h180_normal,bottleneck_off_h180_normal,logistics_demand_on_h180_normal,logistics_demand_off_h180_normal,logistics_indigenous_on_h180_normal,logistics_indigenous_off_h180_normal,delta_capability_h360_normal,delta_q_h360_normal,bottleneck_on_h360_normal,bottleneck_off_h360_normal,logistics_demand_on_h360_normal,logistics_demand_off_h360_normal,logistics_indigenous_on_h360_normal,logistics_indigenous_off_h360_normal,cell_id_clamp,mode_clamp,source_cell_id_clamp,source_structure_clamp,source_capacity_clamp,source_intensity_clamp,delta_capability_h7_clamp,delta_q_h7_clamp,bottleneck_on_h7_clamp,bottleneck_off_h7_clamp,logistics_demand_on_h7_clamp,logistics_demand_off_h7_clamp,logistics_indigenous_on_h7_clamp,logistics_indigenous_off_h7_clamp,delta_capability_h30_clamp,delta_q_h30_clamp,bottleneck_on_h30_clamp,bottleneck_off_h30_clamp,logistics_demand_on_h30_clamp,logistics_demand_off_h30_clamp,logistics_indigenous_on_h30_clamp,logistics_indigenous_off_h30_clamp,delta_capability_h90_clamp,delta_q_h90_clamp,bottleneck_on_h90_clamp,bottleneck_off_h90_clamp,logistics_demand_on_h90_clamp,logistics_demand_off_h90_clamp,logistics_indigenous_on_h90_clamp,logistics_indigenous_off_h90_clamp,delta_capability_h180_clamp,delta_q_h180_clamp,bottleneck_on_h180_clamp,bottleneck_off_h180_clamp,logistics_demand_on_h180_clamp,logistics_demand_off_h180_clamp,logistics_indigenous_on_h180_clamp,logistics_indigenous_off_h180_clamp,delta_capability_h360_clamp,delta_q_h360_clamp,bottleneck_on_h360_clamp,bottleneck_off_h360_clamp,logistics_demand_on_h360_clamp,logistics_demand_off_h360_clamp,logistics_indigenous_on_h360_clamp,logistics_indigenous_off_h360_clamp,attenuation_q_h7,change_capability_effect_h7,attenuation_q_h30,change_capability_effect_h30,attenuation_q_h90,change_capability_effect_h90,attenuation_q_h180,change_capability_effect_h180,attenuation_q_h360,change_capability_effect_h360
ablation_m1_normal,M1,normal,2026240000,phase_054,logistics_constrained,0.4,1.0,0.05236491600000004,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.163023668,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.26202767800000004,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.686940273,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.0,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,ablation_m1_demand_clamped,demand_clamped,phase_054,logistics_constrained,0.4,1.0,0.040405692000000104,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.048169079000000004,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,-0.524243154,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.0,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.0,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.0,-0.011959223999999935,0.0,-0.114854589,0.0,-0.786270832,0.0,-0.686940273,0.0,0.0
ablation_m1_normal,M1,normal,2026240010,phase_054,logistics_constrained,0.4,1.0,0.02435560400000003,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.08927310399999999,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.13259453799999998,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.174902826,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.440772513,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,ablation_m1_demand_clamped,demand_clamped,phase_054,logistics_constrained,0.4,1.0,0.03253766700000005,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.037415368999999976,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.041076942000000005,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.062061544999999996,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.0,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.0,0.008182063000000017,0.0,-0.051857735000000016,0.0,-0.09151759599999998,0.0,-0.11284128100000002,0.0,-0.440772513
ablation_m1_normal,M1,normal,2026240011,phase_054,logistics_constrained,0.4,1.0,0.810431125,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.468730511,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,ablation_m1_demand_clamped,demand_clamped,phase_054,logistics_constrained,0.4,1.0,0.901333063,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.09090193800000002,0.0,-0.468730511,0.0,0.0,0.0,0.0,0.0,0.0
ablation_m1_normal,M1,normal,2026240001,phase_054,logistics_constrained,0.4,1.0,0.133326913,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.823496735,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.746524595,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.578289689,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.0,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,ablation_m1_demand_clamped,demand_clamped,phase_054,logistics_constrained,0.4,1.0,0.15896799699999997,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.0,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.0,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.52194807,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.673530249,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.0,0.02564108399999998,0.0,-0.823496735,0.0,-0.746524595,0.0,-0.05634161900000001,0.0,0.673530249
ablation_m2_normal,M2,normal,2026240000,phase_110,balanced_capacity,0.4,1.0,0.08858834900000001,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.387555554,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.824630712,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.748862979,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.0,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,ablation_m2_demand_clamped,demand_clamped,phase_110,balanced_capacity,0.4,1.0,0.05548799000000004,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,-0.480305174,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.0,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.0,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.397316441,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.0,-0.03310035899999997,0.0,-0.867860728,0.0,-0.824630712,0.0,-0.748862979,0.0,0.397316441
ablation_m2_normal,M2,normal,2026240001,phase_110,balanced_capacity,0.4,1.0,0.036137920999999906,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,0.09129859699999998,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,0.108378961,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,0.11360457899999998,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,0.12806410099999999,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,ablation_m2_demand_clamped,demand_clamped,phase_110,balanced_capacity,0.4,1.0,0.02740788499999991,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,0.0368931549999999,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,-0.761014293,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,-0.73654969,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,-0.682376657,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,0.0,-0.008730035999999997,0.0,-0.05440544200000008,0.0,-0.869393254,0.0,-0.850154269,0.0,-0.810440758
ablation_m2_normal,M2,normal,2026240002,phase_110,balanced_capacity,0.4,1.0,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,ablation_m2_demand_clamped,demand_clamped,phase_110,balanced_capacity,0.4,1.0,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation_m2_normal,M2,normal,2026240003,phase_110,balanced_capacity,0.4,1.0,0.04317587099999998,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,0.12292493699999996,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,0.15409361599999993,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,0.169178147,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,0.22456790199999999,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,ablation_m2_demand_clamped,demand_clamped,phase_110,balanced_capacity,0.4,1.0,0.030835356999999952,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,-0.13556605900000007,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,-0.679027813,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,-0.642146826,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,-0.540197169,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,0.0,-0.012340514000000025,0.0,-0.25849099600000003,0.0,-0.833121429,0.0,-0.811324973,0.0,-0.764765071
ablation_m2_normal,M2,normal,2026240004,phase_110,balanced_capacity,0.4,1.0,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,ablation_m2_demand_clamped,demand_clamped,phase_110,balanced_capacity,0.4,1.0,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation_m2_normal,M2,normal,2026240005,phase_110,balanced_capacity,0.4,1.0,0.03891157199999995,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,0.10065684799999997,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,0.11980601700000004,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,0.126059197,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,0.14360182499999996,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,ablation_m2_demand_clamped,demand_clamped,phase_110,balanced_capacity,0.4,1.0,0.032499532,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,-0.009372627000000078,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,-0.504487504,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,-0.721910315,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,-0.1264336060000001,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,0.0,-0.006412039999999952,0.0,-0.11002947500000004,0.0,-0.624293521,0.0,-0.847969512,0.0,-0.27003543100000005
