cell_id,scenario,mode,seed,source_cell_id,source_structure,source_capacity,source_intensity,delta_capability_h7,delta_q_h7,bottleneck_on_h7,bottleneck_off_h7,logistics_demand_on_h7,logistics_demand_off_h7,logistics_indigenous_on_h7,logistics_indigenous_off_h7,delta_capability_h30,delta_q_h30,bottleneck_on_h30,bottleneck_off_h30,logistics_demand_on_h30,logistics_demand_off_h30,logistics_indigenous_on_h30,logistics_indigenous_off_h30,delta_capability_h90,delta_q_h90,bottleneck_on_h90,bottleneck_off_h90,logistics_demand_on_h90,logistics_demand_off_h90,logistics_indigenous_on_h90,logistics_indigenous_off_h90,delta_capability_h180,delta_q_h180,bottleneck_on_h180,bottleneck_off_h180,logistics_demand_on_h180,logistics_demand_off_h180,logistics_indigenous_on_h180,logistics_indigenous_off_h180,delta_capability_h360,delta_q_h360,bottleneck_on_h360,bottleneck_off_h360,logistics_demand_on_h360,logistics_demand_off_h360,logistics_indigenous_on_h360,logistics_indigenous_off_h360
ablation_m1_normal,M1,normal,2026240000,phase_054,logistics_constrained,0.4,1.0,0.05236491600000004,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.163023668,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.26202767800000004,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.686940273,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.0,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862
ablation_m1_normal,M1,normal,2026240010,phase_054,logistics_constrained,0.4,1.0,0.02435560400000003,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.08927310399999999,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.13259453799999998,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.174902826,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.440772513,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748
ablation_m1_normal,M1,normal,2026240011,phase_054,logistics_constrained,0.4,1.0,0.810431125,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.468730511,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721
ablation_m1_demand_clamped,M1,demand_clamped,2026240000,phase_054,logistics_constrained,0.4,1.0,0.040405692000000104,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.048169079000000004,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,-0.524243154,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.0,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862,0.0,0.0,logistics,logistics,288134.242510529,288134.242510529,235852.113128862,235852.113128862
ablation_m1_demand_clamped,M1,demand_clamped,2026240001,phase_054,logistics_constrained,0.4,1.0,0.15896799699999997,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.0,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.0,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.52194807,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.673530249,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805
ablation_m1_demand_clamped,M1,demand_clamped,2026240002,phase_054,logistics_constrained,0.4,1.0,0.026345789999999925,0.0,logistics,logistics,322952.352937391,322952.352937391,256835.54638312,256835.54638312,-0.04333551999999996,0.0,logistics,logistics,322952.352937391,322952.352937391,256835.54638312,256835.54638312,-0.733619391,0.0,logistics,logistics,322952.352937391,322952.352937391,256835.54638312,256835.54638312,-0.712887389,0.0,logistics,logistics,322952.352937391,322952.352937391,256835.54638312,256835.54638312,-0.66922779,0.0,logistics,logistics,322952.352937391,322952.352937391,256835.54638312,256835.54638312
ablation_m1_demand_clamped,M1,demand_clamped,2026240003,phase_054,logistics_constrained,0.4,1.0,0.025726230999999933,0.0,logistics,logistics,280663.799793388,280663.799793388,230031.72208375,230031.72208375,-0.1734852520000001,0.0,logistics,logistics,280663.799793388,280663.799793388,230031.72208375,230031.72208375,-0.697747462,0.0,logistics,logistics,280663.799793388,280663.799793388,230031.72208375,230031.72208375,-0.647407225,0.0,logistics,logistics,280663.799793388,280663.799793388,230031.72208375,230031.72208375,-0.478619282,0.0,logistics,logistics,280663.799793388,280663.799793388,230031.72208375,230031.72208375
ablation_m1_demand_clamped,M1,demand_clamped,2026240004,phase_054,logistics_constrained,0.4,1.0,0.0,0.0,logistics,logistics,240270.40494337,240270.40494337,196346.990396575,196346.990396575,0.0,0.0,logistics,logistics,240270.40494337,240270.40494337,196346.990396575,196346.990396575,0.0,0.0,logistics,logistics,240270.40494337,240270.40494337,196346.990396575,196346.990396575,0.0,0.0,logistics,logistics,240270.40494337,240270.40494337,196346.990396575,196346.990396575,0.0,0.0,logistics,logistics,240270.40494337,240270.40494337,196346.990396575,196346.990396575
ablation_m1_demand_clamped,M1,demand_clamped,2026240005,phase_054,logistics_constrained,0.4,1.0,0.036727646999999974,0.0,logistics,logistics,310622.695455461,310622.695455461,257250.42573872,257250.42573872,0.07930653799999998,0.0,logistics,logistics,310622.695455461,310622.695455461,257250.42573872,257250.42573872,-0.303981481,0.0,logistics,logistics,310622.695455461,310622.695455461,257250.42573872,257250.42573872,-0.742361302,0.0,logistics,logistics,310622.695455461,310622.695455461,257250.42573872,257250.42573872,-0.669666306,0.0,logistics,logistics,310622.695455461,310622.695455461,257250.42573872,257250.42573872
ablation_m1_demand_clamped,M1,demand_clamped,2026240006,phase_054,logistics_constrained,0.4,1.0,0.03956534199999995,0.0,logistics,logistics,307347.870331561,307347.870331561,232934.385218031,232934.385218031,0.0,0.0,logistics,logistics,307347.870331561,307347.870331561,232934.385218031,232934.385218031,0.0,0.0,logistics,logistics,307347.870331561,307347.870331561,232934.385218031,232934.385218031,0.0,0.0,logistics,logistics,307347.870331561,307347.870331561,232934.385218031,232934.385218031,0.0,0.0,logistics,logistics,307347.870331561,307347.870331561,232934.385218031,232934.385218031
