subset,horizon_days,n,mean_delta_capability,median_delta_capability,positive_fraction
all_treated,7,1440,0.01031234174513889,0.0010979319999999682,0.7423611111111111
all_treated,30,1440,0.02413679305347222,0.004505256499999999,0.7388888888888889
all_treated,90,1440,0.029351258102777777,0.0062318185000000414,0.6881944444444444
all_treated,180,1440,0.024163720405555554,0.0034371124999999503,0.5631944444444444
all_treated,360,1440,0.02117933210208333,0.0,0.4986111111111111
h30_effective,7,1064,0.010571099646616544,0.002027045499999991,0.9219924812030075
h30_effective,30,1064,0.033529666158834584,0.00786735249999998,1.0
h30_effective,90,1064,0.03944964602443609,0.011921071499999936,0.8759398496240601
h30_effective,180,1064,0.034047471566729326,0.01132618049999995,0.7161654135338346
h30_effective,360,1064,0.02981618319736842,0.008564410500000008,0.6306390977443609
