horizon_days,unit,n,mean_supported_vs_control,mean_retained_vs_control,mean_dependency_gap,supported_positive_fraction,retained_positive_fraction,strong_trap_fraction,both_positive_fraction,both_negative_fraction
7,world,1440,0.007815060267361113,-0.0024972814777777775,0.010312341745138889,0.49166666666666664,0.3597222222222222,0.13055555555555556,0.35555555555555557,0.3458333333333333
7,cell,120,0.007815060267361113,-0.002497281477777777,0.01031234174513889,0.5583333333333333,0.31666666666666665,0.24166666666666667,0.31666666666666665,0.3416666666666667
30,world,1440,0.0003605058743055591,-0.023776287179166664,0.024136793053472223,0.41875,0.2708333333333333,0.14652777777777778,0.26180555555555557,0.4111111111111111
30,cell,120,0.00036050587430555835,-0.023776287179166664,0.024136793053472223,0.48333333333333334,0.25833333333333336,0.21666666666666667,0.25,0.425
90,world,1440,-0.010049348229166668,-0.03940060633194445,0.029351258102777777,0.43125,0.2902777777777778,0.14097222222222222,0.2826388888888889,0.39444444444444443
90,cell,120,-0.01004934822916667,-0.03940060633194444,0.029351258102777777,0.38333333333333336,0.11666666666666667,0.26666666666666666,0.11666666666666667,0.5166666666666667
180,world,1440,-0.0076818533791666675,-0.03184557378472223,0.024163720405555554,0.4236111111111111,0.31527777777777777,0.12986111111111112,0.2826388888888889,0.375
180,cell,120,-0.007681853379166668,-0.03184557378472222,0.02416372040555555,0.475,0.24166666666666667,0.24166666666666667,0.225,0.425
360,world,1440,-0.0032556384013888917,-0.024434970503472223,0.021179332102083333,0.3993055555555556,0.3326388888888889,0.1076388888888889,0.27291666666666664,0.3590277777777778
360,cell,120,-0.0032556384013888865,-0.02443497050347222,0.02117933210208333,0.45,0.325,0.16666666666666666,0.275,0.425
