factor_target,factor_severity,factor_intensity,contrast,n_matched_seeds,mean_delta_composite_capability_h30,median_delta_composite_capability_h30,delta_composite_capability_h30_boot95_lo,delta_composite_capability_h30_boot95_hi,mean_delta_q_feasible_h360,median_delta_q_feasible_h360,delta_q_feasible_h360_boot95_lo,delta_q_feasible_h360_boot95_hi,mean_relevant_delta_indigenous_h360,median_relevant_delta_indigenous_h360,relevant_delta_indigenous_h360_boot95_lo,relevant_delta_indigenous_h360_boot95_hi,mean_relevant_delta_demand_h360,median_relevant_delta_demand_h360,relevant_delta_demand_h360_boot95_lo,relevant_delta_demand_h360_boot95_hi,mean_relevant_delta_coverage_capped_h360,median_relevant_delta_coverage_capped_h360,relevant_delta_coverage_capped_h360_boot95_lo,relevant_delta_coverage_capped_h360_boot95_hi,mean_delta_cum_interval_donor_cost_h360,median_delta_cum_interval_donor_cost_h360,delta_cum_interval_donor_cost_h360_boot95_lo,delta_cum_interval_donor_cost_h360_boot95_hi
command,moderate,0.5,development_minus_substitution,12,0.005953076249999939,0.0068221404999999,0.004095578402083277,0.00693850069374993,-0.018079140416666663,-1.3817999999998776e-05,-0.10705530228125,0.05962540956874996,1.6044404796666665,1.600368659999999,0.6439807950999996,2.640626088122916,0.5,0.5,-1.1666666666666667,2.125,0.16848195951996806,0.19357517606593408,0.12734062912061034,0.20274387255905527,459000.0,459000.0,459000.0,459000.0
command,moderate,0.5,hybrid_minus_substitution,12,0.0028737826666666386,0.003481787999999972,0.0013674185749999678,0.004036475127083288,-0.08718611099999996,-0.00872940699999995,-0.2202669557874999,0.01697303743749999,1.2965286204166666,0.8182756339999997,0.25667753601666626,2.3649620356249987,1.5,1.25,-0.3333333333333333,3.25,0.0784793489143437,0.07494339268109174,0.06424656579484482,0.09406122461481393,229500.0,229500.0,229500.0,229500.0
command,moderate,1.0,development_minus_substitution,12,0.01276141374999997,0.01209903999999995,0.005416448412499959,0.020844897447916615,-0.13202931241666663,-0.07581523299999995,-0.2314097979895833,-0.04571916539791666,2.706387620416667,0.9656230504999999,0.94945584983125,4.586237736143749,-0.3333333333333333,0.0,-2.7083333333333335,1.9166666666666667,0.20012116266407923,0.23930219626470572,0.13915607396941637,0.2505668257096983,918000.0,918000.0,918000.0,918000.0
command,moderate,1.0,hybrid_minus_substitution,12,0.009076111666666603,0.006813721999999901,0.0006367846854166298,0.017678754531249927,-0.015586167249999998,-0.00015458099999995,-0.11963899221666664,0.08519714834999996,1.9334965323333335,1.5088923084999997,0.023755219456249917,4.066401028902083,0.625,0.75,-2.1666666666666665,3.3333333333333335,0.15159522769953537,0.19498304087500018,0.09594431504095693,0.19860288918058264,459000.0,459000.0,459000.0,459000.0
command,severe,0.5,development_minus_substitution,12,0.009776490249999964,0.0065493944999999495,0.005439591495833326,0.016366010129166626,-0.004383295499999991,0.0,-0.10309320875000001,0.08988035141666668,0.49361618358333326,0.4299479469999999,0.10909329543124993,0.8892483259062496,0.5833333333333334,0.25,-0.5833333333333334,1.7916666666666667,0.12294049201549162,0.10610156733333331,0.10285407480957262,0.158090833223227,459000.0,459000.0,459000.0,459000.0
command,severe,0.5,hybrid_minus_substitution,12,0.0069517912499999675,0.003377606499999966,0.0022930015083333175,0.013759169110416648,-0.017717063916666668,0.0,-0.07756025821041665,0.0401936540833333,-0.006370263750000055,0.0,-0.2396412096625001,0.20789896830416665,-0.5416666666666666,0.0,-1.4583333333333333,0.2916666666666667,0.02272936247459475,0.03106999766463764,0.00956643847347144,0.03589228647571806,229500.0,229500.0,229500.0,229500.0
command,severe,1.0,development_minus_substitution,12,0.006009930666666628,0.013057690000000007,-0.004604583495833324,0.013494732127083294,-0.07969024733333331,-0.0025930120000000004,-0.19786535675624997,0.028922759727083285,2.0978809624166668,1.8229060385,1.1183617838875,3.2017054298458323,1.7083333333333333,1.25,0.20833333333333334,3.4166666666666665,0.3486150699881695,0.34764569644444443,0.3116984282202982,0.387866308661864,918000.0,918000.0,918000.0,918000.0
command,severe,1.0,hybrid_minus_substitution,12,0.008478319666666624,0.00642057999999995,-0.008785200820833335,0.02840710690833324,-0.005785312999999977,0.0,-0.10093908402916663,0.09937001763958331,0.45359451250000005,0.17815442399999992,-0.021176158325000003,0.9857218680395832,0.125,0.0,-1.5416666666666667,1.7083333333333333,0.09525384799220811,0.09827332919225527,0.06870837874256906,0.1187408257808315,459000.0,459000.0,459000.0,459000.0
forcegen,moderate,0.5,development_minus_substitution,12,-3.019166666673456e-07,-2.845000000584186e-07,-3.7083541670687726e-07,-2.3499999996882495e-07,0.0,0.0,0.0,0.0,456.80304392541666,458.63804675950007,447.6051159111584,465.2969976260708,0.0,0.0,0.0,0.0,,,,,209512.9339075099,209299.5034785975,208040.54282668777,211011.20087979987
forcegen,moderate,0.5,hybrid_minus_substitution,12,1.8333333369942702e-09,-9.499999953366282e-09,-2.7249999979180512e-08,3.350000000549671e-08,0.0,0.0,0.0,0.0,67.78917475558332,68.12691811149999,66.18081463245001,69.2791847396375,0.0,0.0,0.0,0.0,,,,,142365.08130314443,142235.18884977,142186.56440052917,142563.89233317418
