factor_starting_structure,factor_support_target,factor_support_intensity,observed_target_match,n,persistent_migration_count,persistent_migration_fraction,persistent_migration_wilson95_lo,persistent_migration_wilson95_hi,median_migration_time_days_among_migrated,mean_bottleneck_path_entropy,mean_delta_capability_h30,mean_delta_q_feasible_h360,mean_delta_smooth_q_arithmetic_h360,mean_delta_smooth_q_geometric_h360,mean_delta_smooth_q_harmonic_h360,sign_concordance_arithmetic,sign_concordance_geometric,sign_concordance_harmonic
command_constrained,balanced,0.5,False,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,21.0,0.3327430967207915,0.005582268499999987,0.0014458346666666965,0.13699071306722388,0.13699071306722385,0.1369907130672239,1.0,1.0,1.0
command_constrained,balanced,1.0,False,12,12,1.0,0.7575059933447592,1.0,10.5,0.3373407636173857,0.011305028416666594,-0.06641432049999997,-0.21698239275923126,-0.21698239275923126,-0.21698239275923129,1.0,1.0,1.0
command_constrained,balanced,1.5,False,12,12,1.0,0.7575059933447592,1.0,7.0,0.3324255447200484,0.017409921416666627,-0.006951085249999961,0.025379105004282445,0.03512787220932596,0.043074926309604744,0.9166666666666666,0.9166666666666666,0.9166666666666666
command_constrained,command,0.5,True,12,12,1.0,0.7575059933447592,1.0,7.0,0.35642834258683403,0.006220031666666681,0.12419355491666666,0.10917645187508329,0.11863568177066204,0.12646163725255558,1.0,1.0,1.0
command_constrained,command,1.0,False,1,0,0.0,0.0,0.7934506856227626,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
command_constrained,command,1.0,True,11,11,1.0,0.7411670330319684,1.0,7.0,0.3025637319059842,0.0024738648181818093,0.011605969454545456,-0.06275998291208165,-0.06275998291208164,-0.06275998291208164,0.9090909090909091,0.9090909090909091,0.9090909090909091
command_constrained,command,1.5,False,1,0,0.0,0.0,0.7934506856227626,,0.0908761213330015,0.0,-3.9999999978945774e-09,-3.8202169205803216e-09,-3.8202169205803216e-09,-3.820217031602624e-09,1.0,1.0,1.0
command_constrained,command,1.5,True,11,11,1.0,0.7411670330319684,1.0,7.0,0.3145790724376171,0.0029566280909090973,0.04480811872727271,0.017996807700515757,0.023207280540298504,0.027459973614767073,1.0,1.0,1.0
command_constrained,forcegen,0.5,False,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,7.0,0.3270570270470164,1.2916666662180871e-08,0.0,0.0,0.0,0.0,1.0,1.0,1.0
command_constrained,forcegen,1.0,False,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,7.0,0.3270570270470164,1.1916666662707224e-08,0.0,0.0,0.0,0.0,1.0,1.0,1.0
command_constrained,forcegen,1.5,False,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,7.0,0.3270570270470164,8.58333333112841e-09,0.0,0.0,0.0,0.0,1.0,1.0,1.0
command_constrained,logistics,0.5,False,12,12,1.0,0.7575059933447592,1.0,14.0,0.3763031667287155,0.009983895083333291,-0.09681432341666663,-0.07294858061847358,-0.09515977734754368,-0.11188638118714817,0.6666666666666666,0.6666666666666666,0.75
command_constrained,logistics,1.0,False,12,12,1.0,0.7575059933447592,1.0,7.0,0.3054444266368587,0.024451968083333313,-0.12975994824999995,-0.08427105419393864,-0.08686957919173831,-0.08932135286006161,0.9166666666666666,0.9166666666666666,0.9166666666666666
command_constrained,logistics,1.5,False,12,12,1.0,0.7575059933447592,1.0,14.0,0.4026987134036181,0.024505618666666614,0.03177996933333332,0.11211074197293718,0.11211074197293718,0.11211074197293715,0.8333333333333334,0.8333333333333334,0.8333333333333334
command_constrained,none,0.0,False,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,7.0,0.3270570270470164,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
forcegen_constrained,balanced,0.5,False,12,5,0.4166666666666667,0.19326031365875665,0.6804886874504503,7.0,0.007573010111083459,0.0036666061666666117,-0.06082276916666663,-0.024520731695362053,-0.03568792625735764,-0.0457062036565887,0.9166666666666666,0.9166666666666666,0.9166666666666666
forcegen_constrained,balanced,1.0,False,12,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,7.0,0.007573010111083459,0.006638064249999958,-0.0062184681666666115,0.11269288577615931,0.10144984002629465,0.09137498416151228,0.9166666666666666,0.9166666666666666,0.9166666666666666
forcegen_constrained,balanced,1.5,False,12,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,7.0,0.007573010111083459,0.010530171083333291,-0.030534401249999944,-0.04188951391499344,-0.04188951391499346,-0.04188951391499348,0.9166666666666666,0.9166666666666666,0.9166666666666666
forcegen_constrained,command,0.5,False,12,5,0.4166666666666667,0.19326031365875665,0.6804886874504503,7.0,0.015146020222166918,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
forcegen_constrained,command,1.0,False,12,5,0.4166666666666667,0.19326031365875665,0.6804886874504503,7.0,0.015146020222166918,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
forcegen_constrained,command,1.5,False,12,5,0.4166666666666667,0.19326031365875665,0.6804886874504503,7.0,0.015146020222166918,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
forcegen_constrained,forcegen,0.5,False,6,0,0.0,2.7755575615628914e-17,0.3903342879021653,,0.015146020222166918,3.618333333140396e-07,0.0,0.0,0.0,0.0,1.0,1.0,1.0
forcegen_constrained,forcegen,0.5,True,6,6,1.0,0.6096657120978346,1.0,7.0,0.015146020222166918,3.5116666668999486e-07,0.0,0.0,0.0,0.0,1.0,1.0,1.0
forcegen_constrained,forcegen,1.0,False,5,0,0.0,0.0,0.43448246478317476,,0.0181752242666003,3.6940000003315987e-07,0.0,0.0,0.0,0.0,1.0,1.0,1.0
forcegen_constrained,forcegen,1.0,True,7,7,1.0,0.6456695649333126,1.0,7.0,0.012982303047571643,3.545714285513313e-07,0.0,0.0,0.0,0.0,1.0,1.0,1.0
forcegen_constrained,forcegen,1.5,False,3,0,0.0,5.551115123125783e-17,0.5614970317550454,,0.030292040444333836,3.963333333375137e-07,0.0,0.0,0.0,0.0,1.0,1.0,1.0
forcegen_constrained,forcegen,1.5,True,9,9,1.0,0.7008549515804559,1.0,7.0,0.010097346814777945,3.149999999853116e-07,0.0,0.0,0.0,0.0,1.0,1.0,1.0
forcegen_constrained,logistics,0.5,False,5,5,1.0,0.5655175352168251,1.0,7.0,0.0181752242666003,0.009782655799999951,-0.09649947239999995,-0.4466640843082065,-0.44666408430820653,-0.4466640843082065,1.0,1.0,1.0
forcegen_constrained,logistics,0.5,True,7,0,0.0,5.551115123125783e-17,0.35433043506668743,,0.0,0.014096154571428529,-0.12216617599999997,-0.26767163575477687,-0.26767163575477687,-0.26767163575477687,1.0,1.0,1.0
forcegen_constrained,logistics,1.0,False,5,5,1.0,0.5655175352168251,1.0,7.0,0.0,0.01916679179999994,-0.04088483099999997,0.10965412961779031,0.10965412961779028,0.10965412961779039,1.0,1.0,1.0
forcegen_constrained,logistics,1.0,True,7,0,0.0,5.551115123125783e-17,0.35433043506668743,,0.0,0.017913194857142784,0.01080157171428572,0.13353665349670857,0.1335366534967085,0.13353665349670857,0.8571428571428571,0.8571428571428571,0.8571428571428571
forcegen_constrained,logistics,1.5,False,7,7,1.0,0.6456695649333126,1.0,7.0,0.0,0.0298301114285714,-0.098907272,-0.005005926316145289,-0.005005926316145303,-0.005005926316145312,1.0,1.0,1.0
forcegen_constrained,logistics,1.5,True,5,0,0.0,0.0,0.43448246478317476,,0.0,0.02643184359999994,-0.19094118779999997,-0.19300276234135627,-0.19300276234135633,-0.19300276234135616,1.0,1.0,1.0
forcegen_constrained,none,0.0,False,12,5,0.4166666666666667,0.19326031365875665,0.6804886874504503,7.0,0.015146020222166918,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
logistics_constrained,balanced,0.5,False,12,1,0.08333333333333333,0.014865094404917095,0.35387991114111694,7.0,0.0,0.0,-0.08176389941666663,-0.08176389934137913,-0.08176389934137926,-0.08176389934137916,1.0,1.0,1.0
