factor_structure,factor_support_intensity,lower_grid_value,upper_grid_value,left_mean_delta_q_h360,right_mean_delta_q_h360,direction,descriptive_linear_zero_interpolation,both_cells_initially_effective,both_cells_robustly_effective
balanced_capacity,0.75,0.85,1.0,-0.0176235118333333,0.006413370916666698,eroding_to_building,0.9599779369269501,True,False
command_constrained,0.25,0.2,0.3,-0.10859133966666663,0.03156191766666667,eroding_to_building,0.2774804251665722,True,True
command_constrained,0.25,0.3,0.4,0.03156191766666667,-0.04733458458333331,building_to_eroding,0.3400042039464008,True,True
command_constrained,0.25,0.4,0.55,-0.04733458458333331,0.03822147225000002,eroding_to_building,0.4829887204985551,False,False
command_constrained,0.25,0.55,0.7,0.03822147225000002,-0.041806108083333314,building_to_eroding,0.6216405620864683,False,False
command_constrained,0.5,0.55,0.7,-0.021748636333333318,0.040886550833333375,eroding_to_building,0.6020840696351608,False,False
command_constrained,0.75,0.55,0.7,0.012595557833333352,-0.037094791583333286,building_to_eroding,0.5880221450881226,True,False
command_constrained,1.0,0.2,0.3,0.07963990500000002,-0.021091254333333323,building_to_eroding,0.27906183699967213,True,True
command_constrained,1.5,0.2,0.3,-0.04311094874999999,0.0006721209166666865,eroding_to_building,0.298464883979621,True,True
command_constrained,1.5,0.55,0.7,0.0797129330833333,-0.04163563324999996,building_to_eroding,0.6485338378836334,True,True
