factor_structure,factor_capacity_level,factor_capacity_level_index,factor_support_intensity,n,mean_delta_capability_h30,median_delta_capability_h30,delta_capability_h30_boot95_lo,delta_capability_h30_boot95_hi,delta_capability_h30_q10,delta_capability_h30_q90,mean_delta_q_feasible_h360,median_delta_q_feasible_h360,delta_q_feasible_h360_boot95_lo,delta_q_feasible_h360_boot95_hi,delta_q_feasible_h360_q10,delta_q_feasible_h360_q90,effective_seed_count,effective_seed_fraction,effective_seed_fraction_wilson95_lo,effective_seed_fraction_wilson95_hi,trap_seed_count,trap_seed_fraction,trap_seed_fraction_wilson95_lo,trap_seed_fraction_wilson95_hi,build_seed_count,build_seed_fraction,build_seed_fraction_wilson95_lo,build_seed_fraction_wilson95_hi,trap_fraction_among_effective,trap_among_effective_wilson95_lo,trap_among_effective_wilson95_hi,build_fraction_among_effective,build_among_effective_wilson95_lo,build_among_effective_wilson95_hi,phase_regime,robust_phase_regime
balanced_capacity,0.4,1,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.7755575615628914e-17,0.24249400665524085,0,0.0,2.7755575615628914e-17,0.24249400665524085,0,0.0,2.7755575615628914e-17,0.24249400665524085,,,,,,,not_initially_effective,robust_not_initially_effective
balanced_capacity,0.4,1,0.25,12,0.019946603083333316,0.027595842500000002,0.010021847583333333,0.029799718347916646,0.0,0.03650786139999991,-0.027916896333333285,-0.027949769,-0.02890687977291661,-0.02688406928958329,-0.03006165149999991,-0.02646663609999991,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6456695649333126,1.0,0.0,5.551115123125783e-17,0.35433043506668743,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.4,1,0.5,12,0.044158616749999956,0.04368778549999995,0.0195202073333333,0.07150219537708326,0.0,0.11517232329999992,-0.054051579333333315,-0.0537081375,-0.05597728566458328,-0.05221311219166665,-0.058365812999999905,-0.051080984600000004,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6456695649333126,1.0,0.0,5.551115123125783e-17,0.35433043506668743,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.4,1,0.75,12,0.060323508249999984,0.07189416600000001,0.032629813083333334,0.08806900953541663,0.0,0.1128811704999999,-0.08080672591666661,-0.08119590749999996,-0.08288763584791661,-0.07882959018124996,-0.0852069878999999,-0.07601796389999999,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6755924351161198,1.0,0.0,0.0,0.32440756488388023,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.4,1,1.0,12,0.06349671991666664,0.08442415049999996,0.031193936166666658,0.0971675975645833,0.0,0.11234195149999991,-0.10501180049999997,-0.10569281349999995,-0.10775233736666663,-0.10224720251249991,-0.1105436483,-0.0978815266,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6456695649333126,1.0,0.0,5.551115123125783e-17,0.35433043506668743,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.4,1,1.5,12,0.09320619458333333,0.12443802799999995,0.05490433225625,0.13028685279791663,0.0,0.1597690780999999,-0.1497823569166666,-0.15019620049999993,-0.15338611837291663,-0.14632033177291662,-0.1560291434999999,-0.1412966136999999,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,8,0.6666666666666666,0.39062208887279953,0.8618799089087867,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6755924351161198,1.0,0.0,0.0,0.32440756488388023,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.4,1,2.0,12,0.08942576524999996,0.1214390824999999,0.04559896553958329,0.13334301741666663,0.0,0.17898096659999999,-0.18720626591666667,-0.18854397750000002,-0.19257176950416663,-0.18184890174374999,-0.19656591889999997,-0.17460431099999998,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6456695649333126,1.0,0.0,5.551115123125783e-17,0.35433043506668743,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.55,2,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.7755575615628914e-17,0.24249400665524085,0,0.0,2.7755575615628914e-17,0.24249400665524085,0,0.0,2.7755575615628914e-17,0.24249400665524085,,,,,,,not_initially_effective,robust_not_initially_effective
balanced_capacity,0.55,2,0.25,12,0.005055609833333309,0.00590926999999995,0.003580221372916658,0.006174166466666649,0.0005099697000000004,0.006612578900000001,-0.020884119166666607,-0.02050961799999995,-0.021622828035416607,-0.020252271891666618,-0.02276416469999999,-0.02004874399999999,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.7224672001371107,0.9999999999999999,0.0,0.0,0.2775327998628892,effective_autonomy_trap,robust_effective_autonomy_trap
balanced_capacity,0.55,2,0.5,12,0.0068538801666666255,0.0105532394999999,0.0036477143333333087,0.010020105281249948,0.0,0.01242838679999991,-0.041006725916666625,-0.04065852649999995,-0.042416503662499966,-0.03980817817499997,-0.0445380512,-0.03877607439999991,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,7,0.5833333333333334,0.31951131254954973,0.8067396863412435,0,0.0,2.7755575615628914e-17,0.24249400665524085,1.0,0.6456695649333126,1.0,0.0,5.551115123125783e-17,0.35433043506668743,effective_autonomy_trap,robust_effective_autonomy_trap
