factor_structure,factor_capacity_level,factor_capacity_level_index,lower_grid_value,upper_grid_value,left_mean_delta_q_h360,right_mean_delta_q_h360,direction,descriptive_linear_zero_interpolation,both_cells_initially_effective,both_cells_robustly_effective
balanced_capacity,1.0,5,0.5,0.75,-0.0015463631666666198,0.006413370916666698,eroding_to_building,0.5485683048729137,True,True
balanced_capacity,1.0,5,0.75,1.0,0.006413370916666698,-0.09275697283333333,building_to_eroding,0.7661675624842903,True,True
command_constrained,0.2,1,0.5,0.75,-0.023959156666666617,0.010454827416666682,eroding_to_building,0.6740510239140696,True,False
command_constrained,0.2,1,1.0,1.5,0.07963990500000002,-0.04311094874999999,building_to_eroding,1.3243965421299566,True,True
command_constrained,0.3,2,0.25,0.5,0.03156191766666667,-0.04056269758333332,building_to_eroding,0.35940064483278705,True,True
command_constrained,0.3,2,0.5,0.75,-0.04056269758333332,0.012918893000000013,eroding_to_building,0.6896105610402976,True,True
command_constrained,0.3,2,0.75,1.0,0.012918893000000013,-0.021091254333333323,building_to_eroding,0.844963518338968,True,True
command_constrained,0.3,2,1.0,1.5,-0.021091254333333323,0.0006721209166666865,eroding_to_building,1.4845584402937066,True,True
command_constrained,0.3,2,1.5,2.0,0.0006721209166666865,-0.04731802033333332,building_to_eroding,1.5070026978370967,True,False
command_constrained,0.4,3,0.5,0.75,-0.06621983308333332,0.0020651335833333554,eroding_to_building,0.742439281718426,False,False
command_constrained,0.4,3,0.75,1.0,0.0020651335833333554,-0.051759915416666635,building_to_eroding,0.7595918797181836,False,False
command_constrained,0.4,3,1.0,1.5,-0.051759915416666635,0.02590672725000002,eroding_to_building,1.3332184425610636,True,True
command_constrained,0.4,3,1.5,2.0,0.02590672725000002,-0.13387043583333333,building_to_eroding,1.58107143333271,True,True
command_constrained,0.55,4,0.25,0.5,0.03822147225000002,-0.021748636333333318,building_to_eroding,0.40933551377886945,False,False
command_constrained,0.55,4,0.5,0.75,-0.021748636333333318,0.012595557833333352,eroding_to_building,0.6583137766152759,False,False
command_constrained,0.55,4,0.75,1.0,0.012595557833333352,-0.029530852666666652,building_to_eroding,0.8247485822067213,True,False
command_constrained,0.55,4,1.0,1.5,-0.029530852666666652,0.0797129330833333,eroding_to_building,1.1351603318391348,True,True
command_constrained,0.55,4,1.5,2.0,0.0797129330833333,-0.007164356166666635,building_to_eroding,1.958767381967626,True,True
command_constrained,0.7,5,0.25,0.5,-0.041806108083333314,0.040886550833333375,eroding_to_building,0.37639002249723075,False,False
command_constrained,0.7,5,0.5,0.75,0.040886550833333375,-0.037094791583333286,building_to_eroding,0.6310779911137913,True,True
