cell_id,seed,pre_bottleneck_reconstructed,pre_bottleneck_frozen,second_constraint,pre_q1,pre_q2,pre_headroom,pre_forcegen_ratio_indigenous,pre_logistics_ratio_indigenous,pre_command_ratio_indigenous,factor_expected_initial_bottleneck,factor_starting_structure,factor_support_intensity,factor_support_target,delta_composite_capability_h30,delta_q_feasible_h360,first_persistent_migration_days,ever_persistently_migrated,modal_post_bottleneck,initially_effective,autonomy_class_360,observed_target_match
migration_001,2026210000,forcegen,forcegen,logistics,0.4091520848805031,0.8620864740984183,0.45293438921791523,0.4091520848805031,0.8620864740984183,1.8357953343999998,forcegen,forcegen_constrained,0.0,none,0.0,0.0,7.0,True,logistics,False,neutral_or_mixed,False
migration_001,2026210001,logistics,logistics,command,0.9601751205022931,1.83689126975,0.8767161492477068,4.14033916644791,0.9601751205022931,1.83689126975,forcegen,forcegen_constrained,0.0,none,0.0,0.0,,False,logistics,False,neutral_or_mixed,False
migration_001,2026210002,logistics,logistics,forcegen,0.9385075437726698,1.6190810195334933,0.6805734757608235,1.6190810195334933,0.9385075437726698,1.7564992046666668,forcegen,forcegen_constrained,0.0,none,0.0,0.0,,False,logistics,False,neutral_or_mixed,False
migration_001,2026210003,logistics,logistics,command,0.965228199480318,1.8298273083333332,0.8645991088530152,-1.0,0.965228199480318,1.8298273083333332,forcegen,forcegen_constrained,0.0,none,0.0,0.0,,False,logistics,False,neutral_or_mixed,False
migration_001,2026210004,forcegen,forcegen,logistics,0.2165516834287648,0.9608472890323799,0.7442956056036152,0.2165516834287648,0.9608472890323799,1.8526132940000002,forcegen,forcegen_constrained,0.0,none,0.0,0.0,7.0,True,logistics,False,neutral_or_mixed,False
migration_001,2026210005,forcegen,forcegen,logistics,0.33322046802671523,0.9636534127568822,0.630432944730167,0.33322046802671523,0.9636534127568822,1.8425647756666665,forcegen,forcegen_constrained,0.0,none,0.0,0.0,7.0,True,logistics,False,neutral_or_mixed,False
migration_001,2026210006,logistics,logistics,command,0.8135595827227666,1.8063850804000001,0.9928254976772335,2.1357085263786724,0.8135595827227666,1.8063850804000001,forcegen,forcegen_constrained,0.0,none,0.0,0.0,,False,logistics,False,neutral_or_mixed,False
migration_001,2026210007,forcegen,forcegen,logistics,0.5269572979873965,0.941151718804406,0.4141944208170094,0.5269572979873965,0.941151718804406,1.8244363421818184,forcegen,forcegen_constrained,0.0,none,0.0,0.0,7.0,True,logistics,False,neutral_or_mixed,False
migration_001,2026210008,logistics,logistics,forcegen,0.8628344104645512,1.7176453019493618,0.8548108914848106,1.7176453019493618,0.8628344104645512,1.8060804080000001,forcegen,forcegen_constrained,0.0,none,0.0,0.0,,False,logistics,False,neutral_or_mixed,False
migration_001,2026210009,forcegen,forcegen,logistics,0.14783092082996513,0.8458280001543559,0.6979970793243908,0.14783092082996513,0.8458280001543559,1.7744177743999998,forcegen,forcegen_constrained,0.0,none,0.0,0.0,7.0,True,logistics,False,neutral_or_mixed,False
migration_001,2026210010,logistics,logistics,command,0.9340196286577055,1.8222843855,0.8882647568422944,2.8071471358721185,0.9340196286577055,1.8222843855,forcegen,forcegen_constrained,0.0,none,0.0,0.0,,False,logistics,False,neutral_or_mixed,False
migration_001,2026210011,logistics,logistics,command,0.8902193336570946,1.748373317,0.8581539833429054,-1.0,0.8902193336570946,1.748373317,forcegen,forcegen_constrained,0.0,none,0.0,0.0,,False,logistics,False,neutral_or_mixed,False
migration_002,2026210000,forcegen,forcegen,logistics,0.23260183372055732,0.8620864740961482,0.6294846403755909,0.23260183372055732,0.8620864740961482,1.8357953343999998,forcegen,forcegen_constrained,0.5,forcegen,5.189999999766215e-07,0.0,7.0,True,logistics,False,neutral_or_mixed,True
migration_002,2026210001,logistics,logistics,command,0.960175122289707,1.83689126975,0.8767161474602929,2.3542391904026636,0.960175122289707,1.83689126975,forcegen,forcegen_constrained,0.5,forcegen,4.6500000006055586e-07,0.0,,False,logistics,False,neutral_or_mixed,False
migration_002,2026210002,forcegen,forcegen,logistics,0.9204150556209019,0.9385075437789797,0.018092488158077846,0.9204150556209019,0.9385075437789797,1.7564992046666668,forcegen,forcegen_constrained,0.5,forcegen,2.980000000096794e-07,0.0,7.0,True,logistics,False,neutral_or_mixed,True
migration_002,2026210003,logistics,logistics,command,0.965228199480318,1.8298273083333332,0.8645991088530152,-1.0,0.965228199480318,1.8298273083333332,forcegen,forcegen_constrained,0.5,forcegen,4.820000000238522e-07,0.0,,False,logistics,False,neutral_or_mixed,False
migration_002,2026210004,forcegen,forcegen,logistics,0.1231318803569913,0.9608472890051337,0.8377154086481424,0.1231318803569913,0.9608472890051337,1.8526132940000002,forcegen,forcegen_constrained,0.5,forcegen,3.860000000743824e-07,0.0,7.0,True,logistics,False,neutral_or_mixed,True
migration_002,2026210005,forcegen,forcegen,logistics,0.1894413894166972,0.9636534127465987,0.7742120233299015,0.1894413894166972,0.9636534127465987,1.8425647756666665,forcegen,forcegen_constrained,0.5,forcegen,2.960000000662433e-07,0.0,7.0,True,logistics,False,neutral_or_mixed,True
migration_002,2026210006,logistics,logistics,forcegen,0.8135595827151605,1.2142877582320406,0.4007281755168801,1.2142877582320406,0.8135595827151605,1.8063850804000001,forcegen,forcegen_constrained,0.5,forcegen,2.2099999996694208e-07,0.0,,False,logistics,False,neutral_or_mixed,False
migration_002,2026210007,forcegen,forcegen,logistics,0.2996027551074882,0.9411517185878113,0.6415489634803231,0.2996027551074882,0.9411517185878113,1.8244363421818184,forcegen,forcegen_constrained,0.5,forcegen,3.979999999570438e-07,0.0,7.0,True,logistics,False,neutral_or_mixed,True
migration_002,2026210008,logistics,logistics,forcegen,0.8628344104699824,0.976643217187057,0.1138088067170746,0.976643217187057,0.8628344104699824,1.8060804080000001,forcegen,forcegen_constrained,0.5,forcegen,3.2899999991009565e-07,0.0,,False,logistics,False,neutral_or_mixed,False
migration_002,2026210009,forcegen,forcegen,logistics,0.08405000323727417,0.8458279906817032,0.761777987444429,0.08405000323727417,0.8458279906817032,1.7744177743999998,forcegen,forcegen_constrained,0.5,forcegen,2.1000000005599873e-07,0.0,7.0,True,logistics,False,neutral_or_mixed,True
migration_002,2026210010,logistics,logistics,forcegen,0.934019628658545,1.5959103099746588,0.6618906813161137,1.5959103099746588,0.934019628658545,1.8222843855,forcegen,forcegen_constrained,0.5,forcegen,3.1999999994258843e-07,0.0,,False,logistics,False,neutral_or_mixed,False
migration_002,2026210011,logistics,logistics,command,0.8902193336882254,1.748373317,0.8581539833117746,-1.0,0.8902193336882254,1.748373317,forcegen,forcegen_constrained,0.5,forcegen,3.539999999802035e-07,0.0,,False,logistics,False,neutral_or_mixed,False
migration_003,2026210000,forcegen,forcegen,logistics,0.15948985282376538,0.8620864740946115,0.7025966212708461,0.15948985282376538,0.8620864740946115,1.8357953343999998,forcegen,forcegen_constrained,1.0,forcegen,5.289999999158468e-07,0.0,7.0,True,logistics,False,neutral_or_mixed,True
migration_003,2026210001,logistics,logistics,forcegen,0.9601751235203697,1.6145382903819117,0.654363166861542,1.6145382903819117,0.9601751235203697,1.83689126975,forcegen,forcegen_constrained,1.0,forcegen,4.710000000018866e-07,0.0,,False,logistics,False,neutral_or_mixed,False
migration_003,2026210002,forcegen,forcegen,logistics,0.6311126384201192,0.9385075437834318,0.3073949053633126,0.6311126384201192,0.9385075437834318,1.7564992046666668,forcegen,forcegen_constrained,1.0,forcegen,2.9300000004006677e-07,0.0,7.0,True,logistics,False,neutral_or_mixed,True
migration_003,2026210003,logistics,logistics,command,0.965228199480318,1.8298273083333332,0.8645991088530152,-1.0,0.965228199480318,1.8298273083333332,forcegen,forcegen_constrained,1.0,forcegen,4.18000000057539e-07,0.0,,False,logistics,False,neutral_or_mixed,False
migration_003,2026210004,forcegen,forcegen,logistics,0.08444398722117244,0.9608472889876782,0.8764033017665058,0.08444398722117244,0.9608472889876782,1.8526132940000002,forcegen,forcegen_constrained,1.0,forcegen,4.179999999465167e-07,0.0,7.0,True,logistics,False,neutral_or_mixed,True
migration_003,2026210005,forcegen,forcegen,logistics,0.12990340404033585,0.963653412739911,0.8337500086995752,0.12990340404033585,0.963653412739911,1.8425647756666665,forcegen,forcegen_constrained,1.0,forcegen,2.7099999999613544e-07,0.0,7.0,True,logistics,False,neutral_or_mixed,True
migration_003,2026210006,logistics,logistics,forcegen,0.8135595827098024,0.8326998152988089,0.019140232589006434,0.8326998152988089,0.8135595827098024,1.8063850804000001,forcegen,forcegen_constrained,1.0,forcegen,2.270000000192951e-07,0.0,,False,logistics,False,neutral_or_mixed,False
migration_003,2026210007,forcegen,forcegen,logistics,0.20545125417588467,0.9411517184504222,0.7357004642745375,0.20545125417588467,0.9411517184504222,1.8244363421818184,forcegen,forcegen_constrained,1.0,forcegen,3.9800000006806613e-07,0.0,7.0,True,logistics,False,neutral_or_mixed,True
