cell_id,seed,factor_starting_structure,factor_channels,factor_dose_regime,factor_intensity,initial_postsplit_bottleneck,bottleneck_changed_by_h360,modal_bottleneck_h360
rising_001,2026300000,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300001,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300002,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300003,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300004,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300005,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300006,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300007,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300008,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300009,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300010,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300011,forcegen_constrained,none,control,0.0,logistics,True,logistics
rising_001,2026300012,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300013,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300014,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_001,2026300015,forcegen_constrained,none,control,0.0,logistics,False,logistics
rising_002,2026300000,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300001,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300002,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300003,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300004,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300005,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300006,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300007,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300008,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300009,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300010,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300011,forcegen_constrained,forcegen,single_reference,0.5,logistics,True,logistics
rising_002,2026300012,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300013,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300014,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_002,2026300015,forcegen_constrained,forcegen,single_reference,0.5,logistics,False,logistics
rising_003,2026300000,forcegen_constrained,logistics,single_reference,0.5,logistics,False,logistics
rising_003,2026300001,forcegen_constrained,logistics,single_reference,0.5,logistics,False,logistics
rising_003,2026300002,forcegen_constrained,logistics,single_reference,0.5,logistics,False,logistics
rising_003,2026300003,forcegen_constrained,logistics,single_reference,0.5,logistics,True,logistics
rising_003,2026300004,forcegen_constrained,logistics,single_reference,0.5,logistics,False,logistics
rising_003,2026300005,forcegen_constrained,logistics,single_reference,0.5,logistics,False,logistics
rising_003,2026300006,forcegen_constrained,logistics,single_reference,0.5,logistics,False,logistics
rising_003,2026300007,forcegen_constrained,logistics,single_reference,0.5,logistics,False,logistics
rising_003,2026300008,forcegen_constrained,logistics,single_reference,0.5,logistics,False,logistics
rising_003,2026300009,forcegen_constrained,logistics,single_reference,0.5,logistics,False,logistics
rising_003,2026300010,forcegen_constrained,logistics,single_reference,0.5,logistics,False,logistics
rising_003,2026300011,forcegen_constrained,logistics,single_reference,0.5,logistics,True,logistics
