factor_starting_structure,factor_intensity,channels,n,mean_breadth_premium_q,median_breadth_premium_q,boot95_lo,boot95_hi
command_constrained,0.5,forcegen+logistics,16,-0.0061129130000000045,0.0,-0.01176981192968751,-0.0015660967499999956
command_constrained,0.5,forcegen+command,16,-0.034077838812500004,-0.029563072500000037,-0.05212030669531251,-0.015463518635937507
command_constrained,0.5,logistics+command,16,-0.036199980562500005,-0.029563072500000037,-0.053900692848437494,-0.018113936678125008
command_constrained,0.5,forcegen+logistics+command,16,-0.05267122781250001,-0.046103266000000004,-0.071822549746875,-0.03286559766562501
command_constrained,1.0,forcegen+logistics,16,-0.004662216874999996,0.0,-0.010735146562499992,0.0004977269687499974
command_constrained,1.0,forcegen+command,16,-0.0860500200625,-0.06380371899999998,-0.14577119409374997,-0.047012340175
command_constrained,1.0,logistics+command,16,-0.060088695125,-0.07423306399999996,-0.14848472820625003,0.03804796975468749
command_constrained,1.0,forcegen+logistics+command,16,-0.08719526656250001,-0.09395116649999999,-0.10243001540312499,-0.06934460181718752
forcegen_constrained,0.5,forcegen+logistics,16,-0.060053588812499996,-0.01902850249999999,-0.13774099382656252,-0.010269400454687517
forcegen_constrained,0.5,forcegen+command,16,0.008817636312499988,-0.014090864000000008,-0.112199557134375,0.14440260435156246
forcegen_constrained,0.5,logistics+command,16,-0.080385999875,-0.019060662499999992,-0.19703503287968752,0.005994657495312472
forcegen_constrained,0.5,forcegen+logistics+command,16,-0.0980460193125,-0.018442546000000004,-0.22225525651249997,-0.001558793196875003
forcegen_constrained,1.0,forcegen+logistics,16,-0.1253037619375,-0.040839957500000024,-0.22657178283906246,-0.03220455707812503
forcegen_constrained,1.0,forcegen+command,16,-0.19473209137499997,-0.05405014200000001,-0.335974340803125,-0.07149569704375003
forcegen_constrained,1.0,logistics+command,16,-0.2874128388125,-0.1630472315,-0.46837709139062494,-0.10878718536718752
forcegen_constrained,1.0,forcegen+logistics+command,16,-0.1688303805,-0.0869177425,-0.285357258871875,-0.0655982178546875
logistics_constrained,0.5,forcegen+logistics,16,-0.04477148750000002,-0.027664824500000018,-0.07943355514375,-0.022648520190625014
logistics_constrained,0.5,forcegen+command,16,-0.008547589999999994,-3.300000001038583e-08,-0.018725260084374994,-0.0002998183156249948
logistics_constrained,0.5,logistics+command,16,-0.046696685875000005,-0.026645167000000025,-0.07669896936875001,-0.025142063753125
logistics_constrained,0.5,forcegen+logistics+command,16,-0.049529436312500015,-0.028974593500000034,-0.084687322615625,-0.02635704059687502
logistics_constrained,1.0,forcegen+logistics,16,-0.0449371095,-0.028032632000000002,-0.07674256132500001,-0.020453420667187496
logistics_constrained,1.0,forcegen+command,16,-0.021430733625000004,-0.0012333835000000182,-0.04396653607656251,-0.005312415631249992
logistics_constrained,1.0,logistics+command,16,-0.061560526125,-0.03120651200000002,-0.1043671479109375,-0.02764721482187502
logistics_constrained,1.0,forcegen+logistics+command,16,-0.068047423,-0.030954646500000016,-0.12678791944999998,-0.02843415834218749
near_tie_low,0.5,forcegen+logistics,16,-0.06511619625,-0.004514744999999987,-0.1572514446828125,0.0035876784781249966
near_tie_low,0.5,forcegen+command,16,-0.07693065687499998,0.003492169500000031,-0.22065673330156246,0.06412520000468752
near_tie_low,0.5,logistics+command,16,-0.03327465943749998,-0.0024133610000000028,-0.17738507298906248,0.10482448651249991
near_tie_low,0.5,forcegen+logistics+command,16,-0.11532512912499998,-0.02466993400000006,-0.24311954066249997,0.011914689768750021
near_tie_low,1.0,forcegen+logistics,16,0.024553849125,-0.011652361,-0.0730647419234375,0.142367633396875
near_tie_low,1.0,forcegen+command,16,-0.099075684875,-0.046609524999999985,-0.19214479894375,-0.022462874632812532
near_tie_low,1.0,logistics+command,16,-0.1083807523125,-0.023390039499999987,-0.244988401878125,0.026289126317187484
near_tie_low,1.0,forcegen+logistics+command,16,-0.1347623639375,-0.03540804599999997,-0.27485935730781247,0.008419841440624952
