factor_starting_structure,factor_channels,factor_channel_count,factor_dose_regime,factor_intensity,factor_normalized_total_effort,n,mean_gain_q_vs_control,median_gain_q_vs_control,gain_q_boot95_lo,gain_q_boot95_hi,mean_gain_capability_vs_control,median_gain_capability_vs_control,gain_capability_boot95_lo,gain_capability_boot95_hi
command_constrained,command,1,single_reference,0.5,0.5,16,0.0420412254375,0.06331243100000003,-0.034445954581249986,0.088132730925,0.048086658000000004,-0.005636451500000028,-0.007049285498437494,0.11461901240156239
command_constrained,command,1,single_reference,1.0,1.0,16,0.110193287,0.1398351255,0.049284296220312517,0.14794568974687497,0.00478092175,-0.02486364550000003,-0.0627822493375,0.0780757764953125
command_constrained,forcegen,1,single_reference,0.5,0.5,16,0.0,0.0,0.0,0.0,-1.2500000340365247e-10,0.0,-4.375000084433367e-10,1.2499999646475857e-10
command_constrained,forcegen,1,single_reference,1.0,1.0,16,0.0,0.0,0.0,0.0,-1.0877375000002687e-05,0.0,-3.263181250000996e-05,6.249999823237928e-11
command_constrained,forcegen+command,2,equal_channel_dose,0.5,1.0,16,0.0420412254375,0.06331243100000003,-0.034445954581249986,0.088132730925,0.048086657875,-0.005636451500000028,-0.007049285685937489,0.11461901240156239
command_constrained,forcegen+command,2,equal_channel_dose,1.0,2.0,16,0.110193287,0.1398351255,0.049284296220312517,0.14794568974687497,0.006704589375000007,-0.02486364550000003,-0.060590779479687516,0.07967626468125004
command_constrained,forcegen+command,2,equal_total_effort,0.5,0.5,16,0.037602970875,0.03355066500000001,0.029162068468749993,0.04733508395781249,0.007749206625000001,0.002831265999999999,-0.07259884984687501,0.092893681803125
command_constrained,forcegen+command,2,equal_total_effort,1.0,1.0,16,0.0420412254375,0.06331243100000003,-0.034445954581249986,0.088132730925,0.048086657875,-0.005636451500000028,-0.007049285685937489,0.11461901240156239
command_constrained,forcegen+logistics,2,equal_channel_dose,0.5,1.0,16,0.004645940750000004,0.0,-0.0016134535624999988,0.0112705845,0.06025957893749999,0.013821515999999978,0.00855124486093749,0.12335207669374997
command_constrained,forcegen+logistics,2,equal_channel_dose,1.0,2.0,16,0.008199642937500001,0.0020272895000000013,0.0015581999375000044,0.015460335620312507,0.077708091625,0.02391442449999992,0.023496542634374985,0.14052308822187498
command_constrained,forcegen+logistics,2,equal_total_effort,0.5,0.5,16,0.0001464813124999985,0.0,-0.0012261148125000051,0.0013852764999999906,0.042621538875000003,0.03503030100000004,0.0076143246796875,0.09219364870781248
command_constrained,forcegen+logistics,2,equal_total_effort,1.0,1.0,16,0.004645940750000004,0.0,-0.0016134535624999988,0.0112705845,0.06025957893749999,0.013821515999999978,0.00855124486093749,0.12335207669374997
command_constrained,forcegen+logistics+command,3,equal_channel_dose,0.5,1.5,16,0.07070514806250001,0.058520816,-0.0343147885203125,0.182037270240625,0.04408522975000001,0.03071510749999995,-0.01580909741562502,0.11190277730937495
command_constrained,forcegen+logistics+command,3,equal_channel_dose,1.0,3.0,16,0.1042959839375,0.13445275449999997,0.03685947498750001,0.14403660105,0.0681280474375,0.0202882365,0.0024481400234374817,0.14324318926562504
command_constrained,forcegen+logistics+command,3,equal_total_effort,0.5,0.5,16,0.019895179999999995,0.018091414,0.01376531581406249,0.026716643859375007,0.04696719931250001,0.03069858250000007,0.007053783518750022,0.09370249431093751
command_constrained,forcegen+logistics+command,3,equal_total_effort,1.0,1.0,16,0.0432743195,0.034897768999999995,0.03429199543437501,0.054372233515624986,0.036619063249999986,-0.0007624805000000512,-0.034022219826562505,0.11925398765937492
command_constrained,logistics,1,single_reference,0.5,0.5,16,0.004645940750000004,0.0,-0.0016134535624999988,0.0112705845,0.06025957912499999,0.013821517499999991,0.008551245226562492,0.12335207669374997
command_constrained,logistics,1,single_reference,1.0,1.0,16,0.008199642937500001,0.0020272895000000013,0.0015581999375000044,0.015460335620312507,0.0777080916875,0.02391442449999992,0.023496542573437494,0.14052308828124999
command_constrained,logistics+command,2,equal_channel_dose,0.5,1.0,16,0.07038089093750001,0.058520816,-0.03452044786562499,0.181644994975,0.046190200687500016,0.03071510799999999,-0.014549946329687488,0.11353671126874994
command_constrained,logistics+command,2,equal_channel_dose,1.0,2.0,16,0.1042959839375,0.13445275449999997,0.03685947498750001,0.14403660105,0.065193465625,0.020288235499999974,0.0021234022828124865,0.13717431021249998
command_constrained,logistics+command,2,equal_total_effort,0.5,0.5,16,0.03636642725,0.03355066500000001,0.027838047876562494,0.04625269415156251,0.033888900312499984,0.01775845100000001,-0.028914374018750015,0.10224138055312487
command_constrained,logistics+command,2,equal_total_effort,1.0,1.0,16,0.07038089093750001,0.058520816,-0.03452044786562499,0.181644994975,0.046190200687500016,0.03071510799999999,-0.014549946329687488,0.11353671126874994
forcegen_constrained,command,1,single_reference,0.5,0.5,16,-0.070516391125,-0.000728377500000002,-0.2333643554625,0.084657375465625,0.03270613850000001,0.004596186999999974,-0.009475033896874985,0.08811976788281249
forcegen_constrained,command,1,single_reference,1.0,1.0,16,0.008424681375000007,-0.0014452935,-0.14269470195781248,0.15936861769062494,0.04524924418750001,0.021062265000000024,-0.02908582315781249,0.12381125014843747
forcegen_constrained,forcegen,1,single_reference,0.5,0.5,16,0.0434068778125,0.03838090749999999,0.021653490921875,0.0682734537734375,2.630000000003463e-07,2.599999999741698e-07,2.175000000068615e-07,3.068781250049196e-07
forcegen_constrained,forcegen,1,single_reference,1.0,1.0,16,0.1076812593125,0.08517982250000002,0.051505128184375,0.17618002947187503,-0.0020516522499999905,5.535000000000956e-07,-0.006155415753125003,6.072500000137843e-07
forcegen_constrained,forcegen+command,2,equal_channel_dose,0.5,1.0,16,-0.014237695999999987,0.04333804449999999,-0.17677779816406247,0.13630822243593746,0.032705012125000016,0.004596519500000007,-0.009477577309374978,0.08811724312656251
forcegen_constrained,forcegen+command,2,equal_channel_dose,1.0,2.0,16,0.14737604081250003,0.09794406050000003,0.01033285030000002,0.28404290620156253,0.04085097174999999,0.021062631,-0.033822030714062506,0.12173121814374999
forcegen_constrained,forcegen+command,2,equal_total_effort,0.5,0.5,16,0.10866673443750001,0.020606420499999986,-0.0006913534828124958,0.2395770752046875,0.030877840249999993,-0.006232310499999949,-0.038997856553125015,0.11364571254218747
forcegen_constrained,forcegen+command,2,equal_total_effort,1.0,1.0,16,-0.014237695999999987,0.04333804449999999,-0.17677779816406247,0.13630822243593746,0.032705012125000016,0.004596519500000007,-0.009477577309374978,0.08811724312656251
forcegen_constrained,forcegen+logistics,2,equal_channel_dose,0.5,1.0,16,0.11634500475000001,0.05537700200000001,0.021588783292187514,0.22231711268124998,0.08805733,0.01671111350000004,0.01716967194531252,0.16913894179687503
