run_id,pair_id,architecture,seed,withdrawal_time_ticks,horizon_days,branch,territorial_retention,formation_survival_fraction,casualty_ratio,mean_formation_readiness,composite_capability,organic_personnel_reserve,recruit_graduation_throughput,indigenous_supply_delivered,unassisted_command_reliability,autonomy_ratio,performance_delta,substitution_index,decay_rate,air_cost,logistics_cost,command_cost,force_gen_cost,total_cost,discounted_cost,omega_manpower,omega_firepower,omega_logistics,omega_command,omega_min,omega_mean,omega_geo
substitution_heavy_s101_h7_SUPPORT_ON,substitution_heavy_s101_h7,substitution_heavy,101,60,7,SUPPORT_ON,0.8754,0.8809,1.8019,0.8564,0.8899,1200.0,5.0,150.0,0.26,0.9279,0.0642,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,495432.27,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s101_h7_SUPPORT_OFF,substitution_heavy_s101_h7,substitution_heavy,101,60,7,SUPPORT_OFF,0.8145,0.8232,1.6864,0.8019,0.8258,1200.0,5.0,150.0,0.26,0.9279,0.0642,0.7,0.015,223880.59701492538,179104.4776119403,8955.223880597016,35820.89552238806,447761.19,443670.69,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s101_h30_SUPPORT_ON,substitution_heavy_s101_h30,substitution_heavy,101,60,30,SUPPORT_ON,0.8783,0.8837,1.8073,0.859,0.893,1200.0,5.0,150.0,0.26,0.7719,0.2037,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,493873.88,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s101_h30_SUPPORT_OFF,substitution_heavy_s101_h30,substitution_heavy,101,60,30,SUPPORT_OFF,0.6848,0.7004,1.4407,0.6859,0.6893,1200.0,5.0,150.0,0.26,0.7719,0.2037,0.7,0.015,166666.66666666666,133333.3333333333,6666.666666666666,26666.666666666664,333333.33,329249.25,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s101_h90_SUPPORT_ON,substitution_heavy_s101_h90,substitution_heavy,101,60,90,SUPPORT_ON,0.8616,0.8678,1.7756,0.844,0.8753,1200.0,5.0,150.0,0.26,0.4775,0.4574,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,489831.55,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s101_h90_SUPPORT_OFF,substitution_heavy_s101_h90,substitution_heavy,101,60,90,SUPPORT_OFF,0.427,0.4561,0.9523,0.4552,0.4179,1200.0,5.0,150.0,0.26,0.4775,0.4574,0.7,0.015,100000.0,80000.0,4000.0,16000.0,200000.0,195932.62,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s101_h180_SUPPORT_ON,substitution_heavy_s101_h180,substitution_heavy,101,60,180,SUPPORT_ON,0.896,0.9004,1.8409,0.8748,0.9116,1200.0,5.0,150.0,0.26,0.3597,0.5837,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,483830.02,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s101_h180_SUPPORT_OFF,substitution_heavy_s101_h180,substitution_heavy,101,60,180,SUPPORT_OFF,0.3415,0.3751,0.7902,0.3787,0.3279,1200.0,5.0,150.0,0.26,0.3597,0.5837,0.7,0.015,62500.0,50000.0,2500.0,10000.0,125000.0,120957.5,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s102_h7_SUPPORT_ON,substitution_heavy_s102_h7,substitution_heavy,102,60,7,SUPPORT_ON,0.8571,0.8635,1.7671,0.84,0.8706,1200.0,5.0,150.0,0.26,0.9396,0.0526,0.7,0.015,250000.0,200000.0,10000.0,40000.0,500000.0,495432.27,0.45,1.2,0.5,0.4,0.4,0.637,0.573
substitution_heavy_s102_h7_SUPPORT_OFF,substitution_heavy_s102_h7,substitution_heavy,102,60,7,SUPPORT_OFF,0.8071,0.8162,1.6724,0.7953,0.818,1200.0,5.0,150.0,0.26,0.9396,0.0526,0.7,0.015,223880.59701492538,179104.4776119403,8955.223880597016,35820.89552238806,447761.19,443670.69,0.45,1.2,0.5,0.4,0.4,0.637,0.573
