blind_id,source_title,publisher,source_url_or_archive_ref,source_locator_hint,target_district_id,target_district_name,sampling_date_start,sampling_date_end,coder_date_start,coder_date_end,actor_id,observable,value_or_category,spatial_scope,temporal_precision,confidence,coding_rationale,second_coder,second_coder_notes
11b8d4a5e627,Maoists on tax collection drive in Jhapa,The Himalayan Times,https://thehimalayantimes.com/nepal/maoists-on-tax-collection-drive-in-jhapa,"article body, Damak report",NP-D04,Jhapa,2006-09-04,2006-09-04,2006-09-04,2006-09-04,CPN (Maoist),maoist_shadow_governance,PRESENT,"Damak, Bhadrapur, and Mechinagar municipalities, Jhapa district",DAY,HIGH,"Direct dated report that Maoists were collecting local taxes and allocating local-body contracts in three named Jhapa municipalities; this is direct parallel fiscal-administrative activity, not an inference from violence.",independent_second_coder_part_1,Scope limited to the three named municipalities.
2c7a45d69253,Human Rights Yearbook 2005,INSEC,https://www.insec.org.np/wp-content/uploads/2024/07/RS2708_13.-Nepal-Human-Rights-Year-book-2005-English.pdf,"chapter 'Maoists Insurgency and The Fear', printed pp. 96-97",NP-D03,Ilam,2004-09-01,2004-09-08,2004-09-01,2004-09-07,CPN (Maoist),territorial_access_constraint,PRESENT,"Ilam district headquarters and other trade centres, Ilam district",DATE_RANGE,HIGH,"INSEC reports a weeklong Maoist-imposed blockade in Ilam, with the district headquarters and other trade centres left almost empty; this directly supports an access constraint for 1-7 September.",independent_second_coder_part_1,Coded only the explicitly described blockade period; the 8 September fear/rumour effects are not carried into the observable.
39d96300ced7,Code breach,Nepali Times,https://nepalitimes.com/code-breach,article body; inspect Sunsari/Khanar passage,NP-D06,Sunsari,2006-10-09,2006-10-13,2006-10-11,2006-10-11,CPN (Maoist),maoist_armed_presence,PRESENT,"Sharada Higher Secondary School compound, Khanar VDC, Sunsari district",DAY,HIGH,"The dated report states that the school was being used as Maoist army barracks and that 25 cadres were currently based there, directly establishing Maoist presence at the named site.",independent_second_coder_part_1,Observation dated to the Kantipur report date (11 October); takeover was reported as occurring on Monday.
4f8bf2492d43,"Report of the High Commissioner for Human Rights on the human rights situation and the activities of her Office, including technical cooperation, in Nepal",OHCHR,https://nepal.ohchr.org/en/resources/Documents/English/reports/HCR/2006_02_16_HCR_CommissionOnHumanRights_Report(Edited)_E.pdf,"E/CN.4/2006/107, paragraph 56 / report page 17",NP-D13,Khotang,2005-10-01,2005-12-31,2005-10-01,2005-12-31,CPN (Maoist),territorial_access_constraint,PRESENT,Affected RNA personnel/family homes and land in Khotang district; specific localities not stated,THREE_MONTH_RANGE,MEDIUM,"OHCHR reports CPN (Maoist) threats in which RNA members' and families' homes were padlocked/marked and land seized, with such cases reported from Khotang in the last three months of 2005; this directly constrains access/use of property.",independent_second_coder_part_1,"District-level aggregate report; exact Khotang locality, household, and incident date are not specified."
60a7cee12357,It has to be reciprocal,Nepali Times,https://nepalitimes.com/it-has-to-be-reciprocal,article body; inspect all Eastern-district statements,NP-D02,Panchthar,2005-09-03,2005-09-09,2005-09-09,2005-09-09,CPN (Maoist),territorial_access_constraint,ACTIVE_ROAD_BLOCKADE,Panchthar district headquarters (Phidim) and its road access,DAY,HIGH,"The 9 Sep 2005 report states that the rebel road blockade remained intact at the Panchthar district headquarters after the ceasefire and that local Maoist commanders had decided to maintain it. This is a direct access constraint, not an inference from violence.",SC2_part2_v1,Coded only as publication-date current status; no forward/backward carry. Source spells the district 'Pachthar'.
6d5a31f877f2,Trekker tax,Kantipur_via_Nepali_Times,https://nepalitimes.com/trekker-tax,article body; inspect Solukhumbu passage,NP-D11,Solukhumbu,2004-05-16,2004-05-21,2004-05-16,2004-05-16,CPN (Maoist),maoist_shadow_governance,TAXATION_AND_PROJECT_APPROVAL_REGIME,"Lower Solukhumbu: Jubing, Beni, Garma, Kaku, Wasa, Kagel, Tingla, Kerung, Tapting, Patale, Junbesi, and Sunkhani",DAY,HIGH,"The Kantipur report dated 16 May states that Maoists were collecting a 'people's government tax', issuing receipts, and requiring NGO approval and royalties; it explicitly says the decree was valid in the listed lower-Solukhumbu localities. These are direct shadow-governance functions.",SC2_part2_v1,Current-status coding anchored to the source's 16 May dateline; no carry-forward.
6e04e40be38e,It has to be reciprocal,Nepali Times,https://nepalitimes.com/it-has-to-be-reciprocal,article body; inspect all Eastern-district statements,NP-D03,Ilam,2005-09-03,2005-09-09,2005-09-09,2005-09-09,CPN (Maoist),territorial_access_constraint,ACTIVE_ROAD_BLOCKADE,Rakke/Ranke Bajar on the Ilam-Phidim highway at the Ilam-Panchthar border corridor,DAY,MEDIUM,The 9 Sep report states that passengers travelling after the ceasefire were sent back from Rakke Bajar because of the blockade. The observation is coded only at that border-road corridor and does not imply district-wide Ilam control.,SC2_part2_v1,"Boundary location makes district attribution less precise, so confidence is MEDIUM; the directly reported corridor access constraint is retained without widening its spatial scope."
7ad902d44286,Human Rights Yearbook 2005,INSEC,https://www.insec.org.np/wp-content/uploads/2024/07/RS2708_13.-Nepal-Human-Rights-Year-book-2005-English.pdf,"chapter 'Maoists Insurgency and The Fear', printed pp. 96-97",NP-D02,Panchthar,2004-08-25,2004-09-08,2004-08-25,2004-09-08,CPN (Maoist) / PLA 19th Battalion B Company / Kirant Autonomous District People's Government of Panchthar,territorial_access_constraint,CORDON_BLOCKADE_AND_CLOSURE_SEQUENCE,"Phidim/Phidim Bazaar, Panchthar district headquarters",DAY_RANGE,HIGH,"INSEC reports a joint Maoist program specifying a cordon of the district headquarters for 25-31 Aug, a blockade for 1-7 Sep, and closure/compulsory departure from Phidim on 8 Sep; the account also describes the weeklong blockade as imposed. This directly supports a dated access constraint.",SC2_part2_v1,The coded interval is exactly the source-specified sequence through 8 Sep 2004; it is not extended beyond the stated dates.
7c95742e2e81,"Rebels now abduct students, not soldiers",Nepali Times,https://nepalitimes.com/rebels-now-abduct-students-not-soldiers,article body; inspect Sankhuwasabha statements,NP-D09,Sankhuwasabha,2005-09-03,2005-10-07,2005-10-07,2005-10-07,maoist,territorial_access_constraint,present,Sankhuwasabha villages to Khandbari district headquarters; article also describes village-to-market restrictions,publication-day status,HIGH,The article explicitly states that Maoists continue to restrict people's movement from villages to the district headquarters and stop villagers from travelling to markets. This directly supports a Maoist territorial access constraint without inferring control from violence.,GPT-5.6 Sol blind second coder part 3,"Coded only the explicit movement restrictions. The source also reports taxation, abduction, indoctrination, recruitment pressure, and government withdrawal, but those were not needed for this selected observable."
a4f3a0b74b48,It has to be reciprocal,Nepali Times,https://nepalitimes.com/it-has-to-be-reciprocal,article body; inspect all Eastern-district statements,NP-D14,Udayapur,2005-09-03,2005-09-09,2005-09-03,2005-09-09,maoist,maoist_shadow_governance,present (household taxation/extraction),Risku and Tribeni areas of Udayapur district,bounded interval after 2005-09-03 ceasefire through 2005-09-09 publication,MEDIUM,"The article reports that rebels were still extorting taxes in Risku and Tribeni and, after the ceasefire, approached villagers demanding 20 kg of rice and cash from each household. Repeated household-level taxation supports a narrow Maoist shadow-governance observable, while the source does not establish broader district control.",GPT-5.6 Sol blind second coder part 3,"Confidence is MEDIUM because the report directly supports organized household extraction labeled as taxes, but it does not document a wider administrative apparatus or territorial control."
