blind_id,source_title,publisher,source_url_or_archive_ref,source_locator_hint,target_district_id,target_district_name,sampling_date_start,sampling_date_end,coder_date_start,coder_date_end,actor_id,observable,value_or_category,spatial_scope,temporal_precision,confidence,coding_rationale,second_coder,second_coder_notes
11b8d4a5e627,Maoists on tax collection drive in Jhapa,The Himalayan Times,https://thehimalayantimes.com/nepal/maoists-on-tax-collection-drive-in-jhapa,"article body, Damak report",NP-D04,Jhapa,2006-09-04,2006-09-04,,,,,,,,,,,
2c7a45d69253,Human Rights Yearbook 2005,INSEC,https://www.insec.org.np/wp-content/uploads/2024/07/RS2708_13.-Nepal-Human-Rights-Year-book-2005-English.pdf,"chapter 'Maoists Insurgency and The Fear', printed pp. 96-97",NP-D03,Ilam,2004-09-01,2004-09-08,,,,,,,,,,,
39d96300ced7,Code breach,Nepali Times,https://nepalitimes.com/code-breach,article body; inspect Sunsari/Khanar passage,NP-D06,Sunsari,2006-10-09,2006-10-13,,,,,,,,,,,
4f8bf2492d43,"Report of the High Commissioner for Human Rights on the human rights situation and the activities of her Office, including technical cooperation, in Nepal",OHCHR,https://nepal.ohchr.org/en/resources/Documents/English/reports/HCR/2006_02_16_HCR_CommissionOnHumanRights_Report(Edited)_E.pdf,"E/CN.4/2006/107, paragraph 56 / report page 17",NP-D13,Khotang,2005-10-01,2005-12-31,,,,,,,,,,,
60a7cee12357,It has to be reciprocal,Nepali Times,https://nepalitimes.com/it-has-to-be-reciprocal,article body; inspect all Eastern-district statements,NP-D02,Panchthar,2005-09-03,2005-09-09,,,,,,,,,,,
6d5a31f877f2,Trekker tax,Kantipur_via_Nepali_Times,https://nepalitimes.com/trekker-tax,article body; inspect Solukhumbu passage,NP-D11,Solukhumbu,2004-05-16,2004-05-21,,,,,,,,,,,
6e04e40be38e,It has to be reciprocal,Nepali Times,https://nepalitimes.com/it-has-to-be-reciprocal,article body; inspect all Eastern-district statements,NP-D03,Ilam,2005-09-03,2005-09-09,,,,,,,,,,,
7ad902d44286,Human Rights Yearbook 2005,INSEC,https://www.insec.org.np/wp-content/uploads/2024/07/RS2708_13.-Nepal-Human-Rights-Year-book-2005-English.pdf,"chapter 'Maoists Insurgency and The Fear', printed pp. 96-97",NP-D02,Panchthar,2004-08-25,2004-09-08,,,,,,,,,,,
7c95742e2e81,"Rebels now abduct students, not soldiers",Nepali Times,https://nepalitimes.com/rebels-now-abduct-students-not-soldiers,article body; inspect Sankhuwasabha statements,NP-D09,Sankhuwasabha,2005-09-03,2005-10-07,,,,,,,,,,,
a4f3a0b74b48,It has to be reciprocal,Nepali Times,https://nepalitimes.com/it-has-to-be-reciprocal,article body; inspect all Eastern-district statements,NP-D14,Udayapur,2005-09-03,2005-09-09,,,,,,,,,,,
acd798e13d7b,It has to be reciprocal,Nepali Times,https://nepalitimes.com/it-has-to-be-reciprocal,article body; inspect all Eastern-district statements,NP-D08,Terhathum,2004-09-09,2005-09-09,,,,,,,,,,,
ba5b17f0971e,It has to be reciprocal,Nepali Times,https://nepalitimes.com/it-has-to-be-reciprocal,article body; inspect all Eastern-district statements,NP-D01,Taplejung,2005-09-03,2005-09-09,,,,,,,,,,,
eec925a82a6c,"Rebels now abduct students, not soldiers",Nepali Times,https://nepalitimes.com/rebels-now-abduct-students-not-soldiers,article body; inspect Sankhuwasabha statements,NP-D09,Sankhuwasabha,2005-09-03,2005-10-07,,,,,,,,,,,
fa4fb4b19cd6,Misconduct,Kantipur_via_Nepali_Times,https://archive.nepalitimes.com/news.php?id=12313,article body; inspect Morang rural-area passage,NP-D05,Morang,2006-08-09,2006-08-11,,,,,,,,,,,
