blind_id,source_title,publisher,source_url_or_archive_ref,source_locator_hint,target_district_id,target_district_name,sampling_date_start,sampling_date_end,coder_date_start,coder_date_end,actor_id,observable,value_or_category,spatial_scope,temporal_precision,confidence,coding_rationale,second_coder,second_coder_notes
11b8d4a5e627,Maoists on tax collection drive in Jhapa,The Himalayan Times,https://thehimalayantimes.com/nepal/maoists-on-tax-collection-drive-in-jhapa,"article body, Damak report",NP-D04,Jhapa,2006-09-04,2006-09-04,2006-09-04,2006-09-04,CPN_MAOIST,maoist_shadow_governance,PRESENT_PARALLEL_TAX_AND_CONTRACTING,"Damak, Bhadrapur, and Mechinagar municipalities, Jhapa; no districtwide claim",day,HIGH,"The report dated 4 Sep states that Maoists began collecting municipal taxes, issued their own tender notice, and had allocated contracts in Damak, with tax collection also reported in Bhadrapur and Mechinagar. This is direct parallel fiscal/contracting administration, not an inference from violence.","GPT-5.6 Sol independent second coder 2026-09-05","Linked Himalayan Times article accessed directly."
2c7a45d69253,Human Rights Yearbook 2005,INSEC,https://www.insec.org.np/wp-content/uploads/2024/07/RS2708_13.-Nepal-Human-Rights-Year-book-2005-English.pdf,"chapter 'Maoists Insurgency and The Fear', printed pp. 96-97",NP-D03,Ilam,2004-09-01,2004-09-08,2004-09-01,2004-09-08,CPN_MAOIST,territorial_access_constraint,PRESENT_BLOCKADE,"Ilam district headquarters (Ilam Bazar) and access to it; no districtwide control claim","day-range; weeklong blockade with 8 Sep endpoint directly described",MEDIUM,"INSEC describes a similar Maoist programme for Ilam, a weeklong Maoist blockade, population flight, and Ilam Bazar empty on 8 Sep. The source supports an access constraint around the headquarters, but not Maoist control of the whole district.","GPT-5.6 Sol independent second coder 2026-09-05","INSEC PDF accessed directly. Printed p.96 image was inspected; printed p.97 text was accessible but the p.97 screenshot endpoint returned a transient fetch error."
39d96300ced7,Code breach,Nepali Times,https://nepalitimes.com/code-breach,article body; inspect Sunsari/Khanar passage,NP-D06,Sunsari,2006-10-09,2006-10-13,2006-10-09,2006-10-11,CPN_MAOIST,maoist_armed_presence,PRESENT_25_CADRES,"Sharada Higher Secondary School compound, Khanar VDC, Sunsari","day-range; takeover Monday 9 Oct and current presence reported 11 Oct",HIGH,"Kantipur's 11 Oct report says Maoists took over the school on Monday, were using it as barracks, and that 25 cadres were currently based there with additional militia expected. This directly supports local Maoist armed presence.","GPT-5.6 Sol independent second coder 2026-09-05","Linked Nepali Times article accessed directly."
4f8bf2492d43,"Report of the High Commissioner for Human Rights on the human rights situation and the activities of her Office, including technical cooperation, in Nepal",OHCHR,https://nepal.ohchr.org/en/resources/Documents/English/reports/HCR/2006_02_16_HCR_CommissionOnHumanRights_Report(Edited)_E.pdf,"E/CN.4/2006/107, paragraph 56 / report page 17",NP-D13,Khotang,2005-10-01,2005-12-31,2005-10-01,2005-12-31,CPN_MAOIST,maoist_shadow_governance,PRESENT_PROPERTY_SEIZURE,"Affected RNA-member households/properties in Khotang district; locations and prevalence within district unspecified","quarter / last three months of 2005",MEDIUM,"OHCHR paragraph 56 reports CPN(Maoist) threats in which homes were padlocked/marked and land seized, with Khotang among districts reporting such cases in the last three months of 2005. Property seizure is coded narrowly as coercive shadow administration; it does not establish districtwide territorial control or armed presence.","GPT-5.6 Sol independent second coder 2026-09-05","Linked OHCHR PDF text accessed directly; exact-page screenshot failed transiently, and the same primary E/CN.4/2006/107 text was confirmed on the official UN document site."
60a7cee12357,It has to be reciprocal,Nepali Times,https://nepalitimes.com/it-has-to-be-reciprocal,article body; inspect all Eastern-district statements,NP-D02,Panchthar,2005-09-03,2005-09-09,2005-09-09,2005-09-09,CPN_MAOIST,territorial_access_constraint,PRESENT_ROAD_BLOCKADE,"Panchthar district headquarters (Phidim) road access; no districtwide control claim","current-at-report day",HIGH,"The 9 Sep report states that a rebel road blockade remained intact at the Panchthar district headquarters after the ceasefire. This directly supports a Maoist access constraint at the headquarters, not broader territorial control.","GPT-5.6 Sol independent second coder 2026-09-05","Linked Nepali Times article accessed directly."
6d5a31f877f2,Trekker tax,Kantipur_via_Nepali_Times,https://nepalitimes.com/trekker-tax,article body; inspect Solukhumbu passage,NP-D11,Solukhumbu,2004-05-16,2004-05-21,2004-05-16,2004-05-16,CPN_MAOIST,maoist_shadow_governance,PRESENT_TAX_AND_PERMIT_REGIME,"Lower Solukhumbu localities named in source: Jubing, Beni, Garma, Kaku, Wasa, Kagel, Tingla, Kerung, Tapting, Patale, Junbesi, and Sunkhani","day/current-at-source report",HIGH,"Kantipur's 16 May report describes a Maoist 'people's government tax' on trekkers, receipts to prevent double taxation, royalties/approval required for NGOs, and a declared 'people's government zone' in named lower-Solukhumbu localities. This directly supports localized shadow governance.","GPT-5.6 Sol independent second coder 2026-09-05","Linked Nepali Times article accessed directly."
6e04e40be38e,It has to be reciprocal,Nepali Times,https://nepalitimes.com/it-has-to-be-reciprocal,article body; inspect all Eastern-district statements,NP-D03,Ilam,2005-09-03,2005-09-09,,,,,,,,,,,
7ad902d44286,Human Rights Yearbook 2005,INSEC,https://www.insec.org.np/wp-content/uploads/2024/07/RS2708_13.-Nepal-Human-Rights-Year-book-2005-English.pdf,"chapter 'Maoists Insurgency and The Fear', printed pp. 96-97",NP-D02,Panchthar,2004-08-25,2004-09-08,,,,,,,,,,,
7c95742e2e81,"Rebels now abduct students, not soldiers",Nepali Times,https://nepalitimes.com/rebels-now-abduct-students-not-soldiers,article body; inspect Sankhuwasabha statements,NP-D09,Sankhuwasabha,2005-09-03,2005-10-07,,,,,,,,,,,
a4f3a0b74b48,It has to be reciprocal,Nepali Times,https://nepalitimes.com/it-has-to-be-reciprocal,article body; inspect all Eastern-district statements,NP-D14,Udayapur,2005-09-03,2005-09-09,,,,,,,,,,,
